chr	startwin	endwin	nb_genes
0	41500001	42000000	8
0	42000001	42500000	9
0	42500001	43000000	13
0	43000001	43500000	19
0	43500001	44000000	13
0	44000001	44500000	27
0	44500001	45000000	39
0	45000001	45500000	14
0	45500001	46000000	7
0	46000001	46500000	21
0	46500001	47000000	15
0	47000001	47500000	6
0	47500001	48000000	4
0	48000001	48500000	11
0	48500001	49000000	12
0	49000001	49500000	11
0	49500001	50000000	8
0	50000001	50500000	8
0	50500001	51000000	6
0	51000001	51500000	2
0	51500001	52000000	3
0	52000001	52256154	10
1	1	500000	44
1	500001	1000000	25
1	1000001	1500000	24
1	1500001	2000000	64
1	2000001	2500000	42
1	2500001	3000000	31
1	3000001	3500000	28
1	3500001	4000000	35
1	4000001	4500000	46
1	4500001	5000000	41
1	5000001	5500000	46
1	5500001	6000000	35
1	6000001	6500000	47
1	6500001	7000000	39
1	7000001	7500000	40
1	7500001	8000000	45
1	8000001	8500000	48
1	8500001	9000000	44
1	9000001	9500000	40
1	9500001	10000000	29
1	10000001	10500000	57
1	10500001	11000000	35
1	11000001	11500000	41
1	11500001	12000000	33
1	12000001	12500000	28
1	12500001	13000000	29
1	13000001	13500000	23
1	13500001	14000000	26
1	14000001	14500000	38
1	14500001	15000000	41
1	15000001	15500000	18
1	15500001	16000000	33
1	16000001	16500000	46
1	16500001	17000000	33
1	17000001	17500000	37
1	17500001	18000000	39
1	18000001	18500000	45
1	18500001	19000000	30
1	19000001	19500000	36
1	19500001	20000000	26
1	20000001	20500000	29
1	20500001	21000000	17
1	21000001	21500000	20
1	21500001	22000000	21
1	22000001	22500000	34
1	22500001	23000000	35
1	23000001	23500000	47
1	23500001	24000000	46
1	24000001	24500000	82
1	24500001	25000000	46
1	25000001	25500000	43
1	25500001	26000000	32
1	26000001	26500000	33
1	26500001	27000000	30
1	27000001	27500000	31
1	27500001	28000000	27
1	28000001	28500000	24
1	28500001	29000000	47
1	29000001	29500000	34
1	29500001	30000000	27
1	30000001	30500000	32
1	30500001	31000000	42
1	31000001	31500000	43
1	31500001	32000000	39
1	32000001	32500000	27
1	32500001	33000000	35
1	33000001	33500000	47
1	33500001	34000000	40
1	34000001	34500000	47
1	34500001	35000000	58
1	35000001	35500000	23
1	35500001	36000000	29
1	36000001	36500000	37
1	36500001	37000000	36
1	37000001	37500000	38
1	37500001	38000000	38
1	38000001	38500000	31
1	38500001	39000000	37
1	39000001	39500000	46
1	39500001	40000000	38
1	40000001	40500000	60
1	40500001	41000000	35
1	41000001	41500000	37
1	41500001	42000000	44
1	42000001	42500000	34
1	42500001	43000000	53
1	43000001	43500000	60
1	43500001	44000000	61
1	44000001	44500000	71
1	44500001	45000000	50
1	45000001	45500000	57
1	45500001	46000000	50
1	46000001	46500000	45
1	46500001	47000000	60
1	47000001	47500000	53
1	47500001	48000000	47
1	48000001	48500000	45
1	48500001	49000000	45
1	49000001	49500000	35
1	49500001	50000000	49
1	50000001	50500000	72
1	50500001	51000000	62
1	51000001	51500000	63
1	51500001	52000000	57
1	52000001	52500000	61
1	52500001	53000000	59
1	53000001	53500000	72
1	53500001	54000000	59
1	54000001	54500000	52
1	54500001	55000000	54
1	55000001	55500000	63
1	55500001	56000000	72
1	56000001	56500000	62
1	56500001	57000000	65
1	57000001	57500000	65
1	57500001	58000000	76
1	58000001	58500000	92
1	58500001	59000000	76
1	59000001	59500000	71
1	59500001	60000000	73
1	60000001	60500000	55
1	60500001	61000000	90
1	61000001	61500000	68
1	61500001	62000000	78
1	62000001	62500000	50
1	62500001	63000000	74
1	63000001	63500000	60
1	63500001	64000000	89
1	64000001	64500000	96
1	64500001	64744351	40
2	1	500000	56
2	500001	1000000	77
2	1000001	1500000	62
2	1500001	2000000	84
2	2000001	2500000	54
2	2500001	3000000	61
2	3000001	3500000	66
2	3500001	4000000	58
2	4000001	4500000	56
2	4500001	5000000	67
2	5000001	5500000	58
2	5500001	6000000	55
2	6000001	6500000	70
2	6500001	7000000	79
2	7000001	7500000	51
2	7500001	8000000	37
2	8000001	8500000	50
2	8500001	9000000	53
2	9000001	9500000	50
2	9500001	10000000	54
2	10000001	10500000	70
2	10500001	11000000	44
2	11000001	11500000	62
2	11500001	12000000	59
2	12000001	12500000	59
2	12500001	13000000	73
2	13000001	13500000	59
2	13500001	14000000	33
2	14000001	14500000	33
2	14500001	15000000	73
2	15000001	15500000	34
2	15500001	16000000	49
2	16000001	16500000	43
2	16500001	17000000	51
2	17000001	17500000	24
2	17500001	18000000	56
2	18000001	18500000	56
2	18500001	19000000	29
2	19000001	19500000	48
2	19500001	20000000	46
2	20000001	20500000	43
2	20500001	21000000	49
2	21000001	21500000	34
2	21500001	22000000	41
2	22000001	22500000	38
2	22500001	23000000	41
2	23000001	23500000	29
2	23500001	24000000	35
2	24000001	24500000	27
2	24500001	25000000	35
2	25000001	25500000	46
2	25500001	26000000	46
2	26000001	26500000	50
2	26500001	27000000	32
2	27000001	27500000	31
2	27500001	28000000	45
2	28000001	28500000	33
2	28500001	29000000	29
2	29000001	29500000	39
2	29500001	30000000	32
2	30000001	30500000	26
2	30500001	31000000	32
2	31000001	31500000	28
2	31500001	32000000	34
2	32000001	32500000	35
2	32500001	33000000	34
2	33000001	33500000	19
2	33500001	34000000	35
2	34000001	34500000	49
2	34500001	35000000	19
2	35000001	35500000	34
2	35500001	36000000	23
2	36000001	36500000	22
2	36500001	37000000	14
2	37000001	37500000	20
2	37500001	38000000	25
2	38000001	38500000	40
2	38500001	39000000	27
2	39000001	39500000	31
2	39500001	40000000	50
2	40000001	40500000	37
2	40500001	41000000	41
2	41000001	41500000	62
2	41500001	42000000	35
2	42000001	42500000	38
2	42500001	43000000	27
2	43000001	43500000	31
2	43500001	44000000	28
2	44000001	44500000	27
2	44500001	45000000	37
2	45000001	45500000	39
2	45500001	46000000	35
2	46000001	46500000	53
2	46500001	47000000	28
2	47000001	47500000	39
2	47500001	48000000	30
2	48000001	48500000	31
2	48500001	49000000	26
2	49000001	49500000	30
2	49500001	50000000	52
2	50000001	50500000	37
2	50500001	51000000	36
2	51000001	51500000	41
2	51500001	52000000	56
2	52000001	52500000	37
2	52500001	53000000	31
2	53000001	53500000	49
2	53500001	54000000	46
2	54000001	54500000	48
2	54500001	55000000	55
2	55000001	55500000	47
2	55500001	56000000	27
2	56000001	56500000	34
2	56500001	57000000	38
2	57000001	57500000	39
2	57500001	58000000	43
2	58000001	58500000	63
2	58500001	59000000	51
2	59000001	59500000	53
2	59500001	60000000	30
2	60000001	60500000	57
2	60500001	61000000	48
2	61000001	61500000	51
2	61500001	62000000	68
2	62000001	62500000	51
2	62500001	63000000	41
2	63000001	63500000	60
2	63500001	64000000	43
2	64000001	64500000	46
2	64500001	65000000	60
2	65000001	65500000	48
2	65500001	66000000	61
2	66000001	66500000	64
2	66500001	67000000	58
2	67000001	67500000	63
2	67500001	68000000	65
2	68000001	68500000	45
2	68500001	69000000	59
2	69000001	69500000	46
2	69500001	70000000	45
2	70000001	70500000	66
2	70500001	71000000	51
2	71000001	71500000	62
2	71500001	72000000	57
2	72000001	72500000	72
2	72500001	73000000	64
2	73000001	73500000	84
2	73500001	74000000	62
2	74000001	74500000	83
2	74500001	75000000	77
2	75000001	75096527	8
3	1	500000	15
3	500001	1000000	20
3	1000001	1500000	29
3	1500001	2000000	13
3	2000001	2500000	24
3	2500001	3000000	26
3	3000001	3500000	16
3	3500001	4000000	34
3	4000001	4500000	22
3	4500001	5000000	15
3	5000001	5500000	18
3	5500001	6000000	22
3	6000001	6500000	24
3	6500001	7000000	40
3	7000001	7500000	35
3	7500001	8000000	37
3	8000001	8500000	47
3	8500001	9000000	33
3	9000001	9500000	19
3	9500001	10000000	19
3	10000001	10500000	31
3	10500001	11000000	22
3	11000001	11500000	28
3	11500001	12000000	39
3	12000001	12500000	48
3	12500001	13000000	42
3	13000001	13500000	37
3	13500001	14000000	35
3	14000001	14500000	34
3	14500001	15000000	22
3	15000001	15500000	38
3	15500001	16000000	31
3	16000001	16500000	28
3	16500001	17000000	31
3	17000001	17500000	39
3	17500001	18000000	45
3	18000001	18500000	34
3	18500001	19000000	31
3	19000001	19500000	41
3	19500001	20000000	49
3	20000001	20500000	38
3	20500001	21000000	50
3	21000001	21500000	34
3	21500001	22000000	38
3	22000001	22500000	55
3	22500001	23000000	45
3	23000001	23500000	32
3	23500001	24000000	66
3	24000001	24500000	59
3	24500001	25000000	51
3	25000001	25500000	44
3	25500001	26000000	24
3	26000001	26500000	39
3	26500001	27000000	51
3	27000001	27500000	44
3	27500001	28000000	55
3	28000001	28500000	50
3	28500001	29000000	66
3	29000001	29500000	36
3	29500001	30000000	24
3	30000001	30500000	56
3	30500001	31000000	48
3	31000001	31500000	50
3	31500001	32000000	45
3	32000001	32500000	37
3	32500001	33000000	40
3	33000001	33500000	56
3	33500001	34000000	56
3	34000001	34500000	66
3	34500001	35000000	59
3	35000001	35500000	55
3	35500001	36000000	52
3	36000001	36500000	76
3	36500001	37000000	69
3	37000001	37500000	55
3	37500001	38000000	70
3	38000001	38500000	44
3	38500001	39000000	67
3	39000001	39500000	53
3	39500001	40000000	58
3	40000001	40500000	69
3	40500001	41000000	70
3	41000001	41500000	64
3	41500001	42000000	28
3	42000001	42500000	84
3	42500001	43000000	86
3	43000001	43500000	69
3	43500001	44000000	83
3	44000001	44500000	85
3	44500001	45000000	56
3	45000001	45500000	67
3	45500001	46000000	73
3	46000001	46500000	97
3	46500001	46832473	27
4	1	500000	61
4	500001	1000000	66
4	1000001	1500000	50
4	1500001	2000000	36
4	2000001	2500000	42
4	2500001	3000000	57
4	3000001	3500000	40
4	3500001	4000000	46
4	4000001	4500000	28
4	4500001	5000000	41
4	5000001	5500000	44
4	5500001	6000000	38
4	6000001	6500000	41
4	6500001	7000000	43
4	7000001	7500000	41
4	7500001	8000000	30
4	8000001	8500000	30
4	8500001	9000000	33
4	9000001	9500000	39
4	9500001	10000000	30
4	10000001	10500000	29
4	10500001	11000000	52
4	11000001	11500000	36
4	11500001	12000000	23
4	12000001	12500000	24
4	12500001	13000000	34
4	13000001	13500000	39
4	13500001	14000000	17
4	14000001	14500000	38
4	14500001	15000000	27
4	15000001	15500000	25
4	15500001	16000000	22
4	16000001	16500000	28
4	16500001	17000000	26
4	17000001	17500000	21
4	17500001	18000000	22
4	18000001	18500000	22
4	18500001	19000000	20
4	19000001	19500000	20
4	19500001	20000000	28
4	20000001	20500000	36
4	20500001	21000000	23
4	21000001	21500000	26
4	21500001	22000000	31
4	22000001	22500000	31
4	22500001	23000000	25
4	23000001	23500000	33
4	23500001	24000000	25
4	24000001	24500000	21
4	24500001	25000000	30
4	25000001	25500000	36
4	25500001	26000000	38
4	26000001	26500000	36
4	26500001	27000000	41
4	27000001	27500000	34
4	27500001	28000000	48
4	28000001	28500000	31
4	28500001	29000000	31
4	29000001	29500000	26
4	29500001	30000000	41
4	30000001	30500000	41
4	30500001	31000000	34
4	31000001	31500000	35
4	31500001	32000000	31
4	32000001	32500000	31
4	32500001	33000000	25
4	33000001	33500000	48
4	33500001	34000000	27
4	34000001	34500000	39
4	34500001	35000000	41
4	35000001	35500000	28
4	35500001	36000000	42
4	36000001	36500000	42
4	36500001	37000000	47
4	37000001	37500000	29
4	37500001	38000000	37
4	38000001	38500000	48
4	38500001	39000000	38
4	39000001	39500000	39
4	39500001	40000000	67
4	40000001	40500000	31
4	40500001	41000000	40
4	41000001	41500000	52
4	41500001	42000000	42
4	42000001	42500000	28
4	42500001	43000000	46
4	43000001	43500000	53
4	43500001	44000000	55
4	44000001	44500000	51
4	44500001	45000000	61
4	45000001	45500000	55
4	45500001	46000000	70
4	46000001	46500000	54
4	46500001	47000000	66
4	47000001	47500000	60
4	47500001	48000000	54
4	48000001	48500000	51
4	48500001	49000000	57
4	49000001	49500000	52
4	49500001	50000000	71
4	50000001	50500000	59
4	50500001	51000000	57
4	51000001	51500000	54
4	51500001	52000000	46
4	52000001	52500000	63
4	52500001	53000000	75
4	53000001	53500000	60
4	53500001	54000000	67
4	54000001	54500000	60
4	54500001	55000000	69
4	55000001	55500000	54
4	55500001	56000000	61
4	56000001	56500000	85
4	56500001	57000000	67
4	57000001	57500000	66
4	57500001	58000000	58
4	58000001	58500000	71
4	58500001	58986052	72
5	1	500000	83
5	500001	1000000	86
5	1000001	1500000	67
5	1500001	2000000	62
5	2000001	2500000	67
5	2500001	3000000	58
5	3000001	3500000	79
5	3500001	4000000	79
5	4000001	4500000	69
5	4500001	5000000	55
5	5000001	5500000	75
5	5500001	6000000	39
5	6000001	6500000	74
5	6500001	7000000	68
5	7000001	7500000	70
5	7500001	8000000	63
5	8000001	8500000	58
5	8500001	9000000	56
5	9000001	9500000	64
5	9500001	10000000	58
5	10000001	10500000	59
5	10500001	11000000	68
5	11000001	11500000	72
5	11500001	12000000	44
5	12000001	12500000	58
5	12500001	13000000	45
5	13000001	13500000	50
5	13500001	14000000	38
5	14000001	14500000	58
5	14500001	15000000	48
5	15000001	15500000	44
5	15500001	16000000	60
5	16000001	16500000	51
5	16500001	17000000	35
5	17000001	17500000	51
5	17500001	18000000	60
5	18000001	18500000	54
5	18500001	19000000	40
5	19000001	19500000	43
5	19500001	20000000	66
5	20000001	20500000	55
5	20500001	21000000	42
5	21000001	21500000	47
5	21500001	22000000	67
5	22000001	22500000	40
5	22500001	23000000	50
5	23000001	23500000	44
5	23500001	24000000	48
5	24000001	24500000	35
5	24500001	25000000	44
5	25000001	25500000	30
5	25500001	26000000	50
5	26000001	26500000	46
5	26500001	27000000	43
5	27000001	27500000	38
5	27500001	28000000	53
5	28000001	28500000	32
5	28500001	29000000	26
5	29000001	29500000	42
5	29500001	30000000	32
5	30000001	30500000	33
5	30500001	31000000	30
5	31000001	31500000	45
5	31500001	32000000	25
5	32000001	32500000	42
5	32500001	33000000	44
5	33000001	33500000	44
5	33500001	34000000	46
5	34000001	34500000	35
5	34500001	35000000	35
5	35000001	35500000	26
5	35500001	36000000	34
5	36000001	36500000	34
5	36500001	37000000	32
5	37000001	37500000	28
5	37500001	38000000	40
5	38000001	38500000	51
5	38500001	39000000	54
5	39000001	39500000	36
5	39500001	40000000	34
5	40000001	40500000	37
5	40500001	41000000	44
5	41000001	41500000	34
5	41500001	42000000	32
5	42000001	42500000	44
5	42500001	43000000	19
5	43000001	43500000	19
5	43500001	44000000	33
5	44000001	44500000	29
5	44500001	45000000	27
5	45000001	45500000	20
5	45500001	46000000	52
5	46000001	46500000	31
5	46500001	47000000	25
5	47000001	47500000	24
5	47500001	48000000	19
5	48000001	48500000	36
5	48500001	49000000	28
5	49000001	49500000	19
5	49500001	50000000	32
5	50000001	50500000	20
5	50500001	51000000	24
5	51000001	51500000	18
5	51500001	52000000	10
5	52000001	52500000	28
5	52500001	53000000	39
5	53000001	53500000	34
5	53500001	54000000	21
5	54000001	54500000	30
5	54500001	55000000	27
5	55000001	55500000	42
5	55500001	56000000	21
5	56000001	56500000	31
5	56500001	57000000	43
5	57000001	57500000	32
5	57500001	58000000	34
5	58000001	58500000	27
5	58500001	59000000	39
5	59000001	59500000	28
5	59500001	60000000	35
5	60000001	60500000	44
5	60500001	61000000	35
5	61000001	61500000	31
5	61500001	62000000	26
5	62000001	62500000	40
5	62500001	63000000	24
5	63000001	63500000	39
5	63500001	64000000	45
5	64000001	64500000	38
5	64500001	65000000	33
5	65000001	65500000	41
5	65500001	66000000	41
5	66000001	66500000	37
5	66500001	67000000	36
5	67000001	67500000	47
5	67500001	68000000	41
5	68000001	68500000	55
5	68500001	69000000	57
5	69000001	69500000	45
5	69500001	70000000	49
5	70000001	70500000	58
5	70500001	71000000	39
5	71000001	71500000	34
5	71500001	72000000	42
5	72000001	72500000	32
5	72500001	73000000	33
5	73000001	73500000	41
5	73500001	74000000	43
5	74000001	74500000	42
5	74500001	75000000	38
5	75000001	75500000	62
5	75500001	76000000	58
5	76000001	76500000	42
5	76500001	77000000	51
5	77000001	77500000	39
5	77500001	78000000	48
5	78000001	78500000	41
5	78500001	79000000	55
5	79000001	79500000	46
5	79500001	80000000	49
5	80000001	80500000	29
5	80500001	81000000	36
5	81000001	81500000	27
5	81500001	82000000	36
5	82000001	82500000	39
5	82500001	83000000	50
5	83000001	83500000	43
5	83500001	84000000	50
5	84000001	84500000	46
5	84500001	85000000	52
5	85000001	85500000	57
5	85500001	85844170	43
6	1	500000	28
6	500001	1000000	67
6	1000001	1500000	50
6	1500001	2000000	54
6	2000001	2500000	51
6	2500001	3000000	28
6	3000001	3500000	59
6	3500001	4000000	57
6	4000001	4500000	45
6	4500001	5000000	49
6	5000001	5500000	40
6	5500001	6000000	25
6	6000001	6500000	38
6	6500001	7000000	51
6	7000001	7500000	51
6	7500001	8000000	48
6	8000001	8500000	45
6	8500001	9000000	60
6	9000001	9500000	61
6	9500001	10000000	13
6	10000001	10500000	37
6	10500001	11000000	38
6	11000001	11500000	72
6	11500001	12000000	40
6	12000001	12500000	34
6	12500001	13000000	38
6	13000001	13500000	53
6	13500001	14000000	46
6	14000001	14500000	48
6	14500001	15000000	52
6	15000001	15500000	72
6	15500001	16000000	63
6	16000001	16500000	65
6	16500001	17000000	38
6	17000001	17500000	31
6	17500001	18000000	34
6	18000001	18500000	30
6	18500001	19000000	30
6	19000001	19500000	38
6	19500001	20000000	31
6	20000001	20500000	27
6	20500001	21000000	33
6	21000001	21500000	30
6	21500001	22000000	19
6	22000001	22500000	36
6	22500001	23000000	30
6	23000001	23500000	36
6	23500001	24000000	41
6	24000001	24500000	31
6	24500001	25000000	27
6	25000001	25500000	39
6	25500001	26000000	25
6	26000001	26500000	27
6	26500001	27000000	36
6	27000001	27500000	19
6	27500001	28000000	30
6	28000001	28500000	8
6	28500001	29000000	19
6	29000001	29500000	37
6	29500001	30000000	26
6	30000001	30500000	21
6	30500001	31000000	26
6	31000001	31500000	22
6	31500001	32000000	34
6	32000001	32500000	31
6	32500001	33000000	15
6	33000001	33500000	32
6	33500001	34000000	40
6	34000001	34500000	32
6	34500001	35000000	36
6	35000001	35500000	36
6	35500001	36000000	34
6	36000001	36500000	27
6	36500001	37000000	33
6	37000001	37500000	33
6	37500001	38000000	30
6	38000001	38500000	24
6	38500001	39000000	30
6	39000001	39500000	39
6	39500001	40000000	48
6	40000001	40500000	33
6	40500001	41000000	26
6	41000001	41500000	43
6	41500001	42000000	53
6	42000001	42500000	39
6	42500001	43000000	42
6	43000001	43500000	56
6	43500001	44000000	42
6	44000001	44500000	43
6	44500001	45000000	38
6	45000001	45500000	44
6	45500001	46000000	44
6	46000001	46500000	46
6	46500001	47000000	35
6	47000001	47500000	38
6	47500001	48000000	45
6	48000001	48500000	44
6	48500001	49000000	64
6	49000001	49500000	52
6	49500001	50000000	48
6	50000001	50500000	40
6	50500001	51000000	51
6	51000001	51500000	50
6	51500001	52000000	31
6	52000001	52500000	56
6	52500001	53000000	59
6	53000001	53500000	45
6	53500001	54000000	70
6	54000001	54500000	67
6	54500001	55000000	60
6	55000001	55500000	60
6	55500001	56000000	61
6	56000001	56500000	35
6	56500001	57000000	71
6	57000001	57500000	75
6	57500001	58000000	67
6	58000001	58500000	67
6	58500001	59000000	52
6	59000001	59500000	64
6	59500001	60000000	65
6	60000001	60500000	59
6	60500001	61000000	79
6	61000001	61500000	76
6	61500001	62000000	75
6	62000001	62500000	63
6	62500001	63000000	80
6	63000001	63500000	66
6	63500001	64000000	57
6	64000001	64500000	55
6	64500001	65000000	71
6	65000001	65500000	84
6	65500001	66000000	57
6	66000001	66500000	83
6	66500001	67000000	69
6	67000001	67392498	41
7	1	500000	73
7	500001	1000000	75
7	1000001	1500000	92
7	1500001	2000000	63
7	2000001	2500000	79
7	2500001	3000000	71
7	3000001	3500000	57
7	3500001	4000000	68
7	4000001	4500000	68
7	4500001	5000000	71
7	5000001	5500000	77
7	5500001	6000000	51
7	6000001	6500000	64
7	6500001	7000000	47
7	7000001	7500000	43
7	7500001	8000000	69
7	8000001	8500000	57
7	8500001	9000000	59
7	9000001	9500000	55
7	9500001	10000000	70
7	10000001	10500000	63
7	10500001	11000000	58
7	11000001	11500000	62
7	11500001	12000000	65
7	12000001	12500000	60
7	12500001	13000000	51
7	13000001	13500000	59
7	13500001	14000000	35
7	14000001	14500000	33
7	14500001	15000000	55
7	15000001	15500000	41
7	15500001	16000000	59
7	16000001	16500000	33
7	16500001	17000000	37
7	17000001	17500000	49
7	17500001	18000000	61
7	18000001	18500000	55
7	18500001	19000000	61
7	19000001	19500000	44
7	19500001	20000000	47
7	20000001	20500000	46
7	20500001	21000000	46
7	21000001	21500000	58
7	21500001	22000000	35
7	22000001	22500000	44
7	22500001	23000000	48
7	23000001	23500000	37
7	23500001	24000000	42
7	24000001	24500000	54
7	24500001	25000000	48
7	25000001	25500000	38
7	25500001	26000000	41
7	26000001	26500000	40
7	26500001	27000000	35
7	27000001	27500000	26
7	27500001	28000000	63
7	28000001	28500000	62
7	28500001	29000000	43
7	29000001	29500000	39
7	29500001	30000000	53
7	30000001	30500000	52
7	30500001	31000000	31
7	31000001	31500000	27
7	31500001	32000000	34
7	32000001	32500000	31
7	32500001	33000000	39
7	33000001	33500000	47
7	33500001	34000000	32
7	34000001	34500000	27
7	34500001	35000000	48
7	35000001	35500000	48
7	35500001	36000000	39
7	36000001	36500000	29
7	36500001	37000000	41
7	37000001	37500000	25
7	37500001	38000000	23
7	38000001	38500000	38
7	38500001	39000000	26
7	39000001	39500000	20
7	39500001	40000000	43
7	40000001	40500000	22
7	40500001	41000000	32
7	41000001	41500000	26
7	41500001	42000000	29
7	42000001	42500000	25
7	42500001	43000000	38
7	43000001	43500000	38
7	43500001	44000000	45
7	44000001	44500000	27
7	44500001	45000000	33
7	45000001	45500000	27
7	45500001	46000000	26
7	46000001	46500000	25
7	46500001	47000000	26
7	47000001	47500000	26
7	47500001	48000000	25
7	48000001	48500000	37
7	48500001	49000000	44
7	49000001	49500000	42
7	49500001	50000000	46
7	50000001	50500000	32
7	50500001	51000000	42
7	51000001	51500000	51
7	51500001	52000000	46
7	52000001	52500000	33
7	52500001	53000000	38
7	53000001	53500000	38
7	53500001	54000000	31
7	54000001	54500000	28
7	54500001	55000000	36
7	55000001	55500000	22
7	55500001	56000000	35
7	56000001	56500000	31
7	56500001	57000000	35
7	57000001	57500000	39
7	57500001	58000000	40
7	58000001	58500000	34
7	58500001	59000000	37
7	59000001	59500000	44
7	59500001	60000000	27
7	60000001	60500000	32
7	60500001	61000000	26
7	61000001	61500000	29
7	61500001	62000000	27
7	62000001	62500000	36
7	62500001	63000000	36
7	63000001	63500000	33
7	63500001	64000000	47
7	64000001	64500000	22
7	64500001	65000000	33
7	65000001	65500000	30
7	65500001	66000000	43
7	66000001	66500000	39
7	66500001	67000000	49
7	67000001	67080050	7
