ID	Axis1	Axis2	Axis3	Axis4	Axis5	ID	date_mathilde	period_corjune2017_mathilde	classification_horti	genetic_group	ploidy_exp	ploidy_obs	DPQ	QCCR	DQCinf0965	missingness	ID_2ndfile	ID2	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	TN2014	TN2015	TN2016
belle_herminie_B10	42.7889587506	22.6248880722	19.9950429596	4.1344863287	9.1760360568	belle_herminie_B10	1819	[1810-1819]	Hgal	2	4	2	NA	NA	NA	0.041	belle_herminie	belle_herminie_B10	5	42	1	5	42	1	0	0	0
belle_isis_F7	41.7355392556	24.4837791222	20.1866915611	4.821226595	8.5194082079	belle_isis_F7	1845	[1840-1849]	Hgal	2	4	2	0.971	97.445	0	0.032	belle_isis	belle_isis_F7	6	1	3	6	1	3	0	0	0
belvedere_G8	-26.6661758748	37.4883763048	-27.1347203688	18.8457882941	-17.9721995714	belvedere_G8	1829	[1820-1829]	Hsem	10	2	2	0.968	97.553	0	0.049	belvedere	belvedere_G8	4	39	1	4	39	1	0	0	0
bijou_des_amateurs_A8	42.529211644	21.9176941346	19.9220196551	3.5900559283	9.5651951231	bijou_des_amateurs_A8	1837	[1830-1839]	Hgal	1	4	2	0.965	97.18	0	0.056	bijou_des_amateurs	bijou_des_amateurs_A8	1	52	1	1	52	1	4	0	0
blanc_pur_G4	-24.8813110535	-31.857929728	21.7183045234	18.7249844049	-6.6356206805	blanc_pur_G4	1827	[1820-1829]	Misc_OGR	8	4	4	0.99	92.298	0	0.098	blanc_pur	blanc_pur_G4	13	11	6	13	11	6	3	1	1
blanche_moreau_A9	44.6788869647	16.6812924426	15.8928455931	2.1910377935	9.0713035126	blanche_moreau_A9	1863	[1860-1869]	M	2	4	2	0.971	97.571	0	0.036	blanche_moreau	blanche_moreau_A9	NA	NA	NA	11	58	3	3	3	3
blush_damask_H1	43.1709648781	-2.3463768535	-2.2587453467	2.8816939759	-2.1165118088	blush_damask_H1	1760	unknown	D	2	4	4	0.983	95.767	0	0.056	blush_damask	blush_damask_H1	2	5	6	2	5	6	0	0	0
blush_hip_B3	13.421642299	6.07248649	13.3693417747	-3.3947247997	-0.1471642021	blush_hip_B3	1834	unknown	A	5	4	4	0.987	94.071	0	0.062	blush_hip	blush_hip_B3	5	8	10	5	8	10	1	0	0
boula_de_nanteuil_A11	44.041388328	20.5271762582	19.1127411652	3.7808915087	9.806711889	boula_de_nanteuil_chene_A11	1834	[1830-1839]	Hgal	2	4	2	0.974	97.843	0	0.035	boula_de_nanteuil	boula_de_nanteuil_A11	NA	NA	NA	8	18	3	1	0	NA
bouquet_de_venus_D6	42.191714803	23.1025780716	20.0636615454	4.0962390391	8.9960157277	bouquet_de_venus_D6	1814	imprecise	Hgal	2	4	2	0.978	97.464	0	0.042	bouquet_de_venus	bouquet_de_venus_D6	1	22	1	1	22	1	0	1	0
camaieu_G12	42.928000135	22.5850916387	19.7548323873	4.3884219524	9.3224351408	camaieu_2_G12	1826	[1820-1829]	Hgal	2	4	2	0.968	97.458	0	0.035	camaieu	camaieu_G12	6	26	3	6	26	3	0	0	0
capitaine_basroger_C1	-0.538580592	-10.6681189108	18.4812288801	-11.8627780162	9.033623169	capitaine_basroger_C1	1890	[1890-1899]	M	5	4	4	0.989	91.938	0	0.08	capitaine_basroger	capitaine_basroger_C1	4	45	10	4	45	10	5	5	1
caroline_banks_A12	-23.8422362949	7.7600495974	-12.3078405492	-21.1164317954	4.280272173	caroline_banks_A12	1889	[1880-1889]	Hmult	6	4	4	0.989	90.235	0	0.117	caroline_banks	caroline_banks_A12	NA	NA	NA	8	19	6	NA	3	3
celine_F12	-28.5389240846	-8.7332870939	-12.0585403383	-25.7100724915	-17.8483580232	celine_2_F12	1824	[1820-1829]	B	6	4	4	0.99	92.84	0	0.076	celine	celine_F12	5	41	1	5	41	1	3	4	2
champmey_pink_cluster_B1	-50.5639819982	13.2560080883	-13.317871054	-4.2620271518	-47.4914508576	champmey_pink_cluster_chene_B1	1811	[1810-1819]	NA	4	NA	2	0.981	96.297	0	0.071	champmey_pink_cluster	champmey_pink_cluster_B1	NA	NA	NA	Zone 	Zone 	Zone 	4	4	NA
charles_lawson_B4	-2.6987515736	-16.6591919606	15.2943710529	-22.5946499828	3.9287510637	charles_lawson_B4	1853	[1850-1859]	B	5	2	4	0.991	92.248	0	0.071	charles_lawson	charles_lawson_B4	11	2	6	11	2	6	4	5	4
charles_quint_B2	43.0404145649	20.0308616248	16.9770164155	5.0004348302	8.5332525642	charles_quint_B2	1856	[1850-1859]	Hgal	2	4	2	0.97	97.71	0	0.042	charles_quint	charles_quint_B2	3	37	10	3	37	10	4	4	4
chloris_F10	39.2806073437	4.1410890777	-3.1436595896	7.4677448247	4.2149525546	chloris_F10	1814	[1810-1819]	A	2	4	2	0.979	96.291	0	0.049	chloris	chloris_F10	6	46	3	6	46	3	0	0	0
claire_jacquier_F8	-39.7422308361	-7.6786747194	6.6173466687	36.5053216368	-42.7208972942	claire_jacquier_F8	1887	[1880-1889]	N	2	2	2	0.981	97.048	0	0.05	claire_jacquier	claire_jacquier_F8	8	26	3	8	26	3	0	0	0
clementine_B4	38.4143314932	4.4397341722	4.6693134138	5.4621427116	-12.3409628661	clementine_B4	1818	[1810-1819]	Hgal	3	4	4	0.981	96.436	0	0.036	clementine	clementine_B4	4	15	10	4	15	10	0	0	0
clotilde_soupert_B11	-53.4146610211	35.5826943473	-35.0386237641	12.1203544421	16.4713069658	clotilde_soupert_B11	1889	[1880-1889]	Pol	10	2	2	0.974	96.859	0	0.055	clotilde_soupert	clotilde_soupert_B11	2	50	10	2	50	10	5	4	1
comtesse_de_murinais_E10	40.7835029194	-3.366357271	-0.8298963524	2.0889779173	-13.6920441039	comtesse_de_murinais_E10	1843	[1840-1849]	M	2	4	4	NA	NA	NA	0.037	comtesse_de_murinais	comtesse_de_murinais_E10	9	7	3	9	7	3	1	0	1
corporal_johann_nagy_D10	8.5104453318	13.2193008451	-7.0156292263	-14.6471450389	4.8446381099	corporal_johann_nagy_D10	1890	[1890-1899]	Hset	4	4	4	0.989	93.219	0	0.064	corporal_johann_nagy	corporal_johann_nagy_D10	5	44	1	5	44	1	0	0	0
cramoisi_eblouissant_B6	42.2379227976	21.5807899516	17.9637947418	4.4188061128	8.4258748302	cramoisi_eblouissant_B6	1829	unknown	Ch	2	4	2	0.969	97.225	0	0.035	cramoisi_eblouissant	cramoisi_eblouissant_B6	7	54	10	7	54	10	1	0	0
cramoisi_superieur_B7	-60.426322897	-3.3650412002	-1.6902084776	-8.8552730863	7.3857650478	cramoisi_superieur_chene_B7	1832	[1830-1839]	NA	9	NA	3	0.978	90.267	0	0.112	cramoisi_superieur	cramoisi_superieur_B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
creme_H3	-12.3833085949	27.9826329325	3.8794285492	16.8030487733	-39.192419407	creme_H3	1894	[1890-1899]	S	10	2	2	0.974	96.846	0	0.058	creme	creme_H3	9	4	6	9	4	6	0	0	0
crimsom_rambler_B8	-56.173613601	46.7994501151	-45.0862940593	-12.3250833199	11.6683045834	crimsom_rambler_B8	1893	[1890-1899]	NA	10	NA	2	0.964	95.919	1	0.088	crimsom_rambler	crimsom_rambler_B8	NA	NA	NA	NA	NA	NA	NA	NA	NA
crimson_globe_B3	11.0739875164	0.1180704678	7.68482867	-11.903082528	2.4415009973	crimson_globe_B3	1839	[1890-1899]	M	4	4	4	NA	NA	NA	0.061	crimson_globe	crimson_globe_B3	6	4	6	6	4	6	5	4	4
dawson_H1	-61.1763682896	36.2954244236	-38.6912753247	-17.187846245	12.4528029931	dawson_H1	1888	[1880-1889]	Hmult	10	2	2	0.974	96.297	0	0.073	dawson	dawson_H1	3	42	1	3	42	1	5	1	4
delille_B12	11.1339185493	2.146127278	8.8148517266	-3.436691077	-12.0877775486	delille_B12	1852	uncertain	M	5	4	4	0.986	94.575	0	0.052	delille	delille_B12	2	31	8	2	31	8	2	3	NA
desprez_a_fleur_jaune_B10	-53.1894495878	-14.7302895132	9.6130829503	23.5843705739	-27.6209233895	desprez_a_fleur_jaune_B10	1835	[1830-1839]	NA	9	NA	2	0.979	96.304	0	0.064	desprez_a_fleur_jaune	desprez_a_fleur_jaune_B10	NA	NA	NA	NA	NA	NA	NA	NA	NA
deuil_de_paul_fontaine_B11	6.8508338117	2.6318592162	11.5311540534	-11.5032063505	0.3539978295	deuil_de_paul_fontaine_B11	1873	[1870-1879]	M	4	4	4	0.988	93.301	0	0.071	deuil_de_paul_fontaine	deuil_de_paul_fontaine_B11	NA	NA	NA	5	12	10	5	4	4
dona_sol_A1	42.5602399774	21.8348602222	19.7894511156	4.4026014968	5.4911783834	dona_sol_A1	1842	[1840-1849]	Hgal	2	4	2	0.976	97.66	0	0.026	dona_sol	dona_sol_A1	3	49	10	3	49	10	0	1	0
duc_d_anjou_B12	41.7615817243	18.3510672785	16.2941641136	3.844310243	9.3975760916	duc_d_anjou_B12	1862	[1860-1869]	HP	2	4	2	0.978	96.417	0	0.065	duc_d_anjou	duc_d_anjou_B12	NA	NA	NA	1	29	1	0	0	0
duc_de_cambridge_B6	10.3531464963	3.3928254465	0.2601774883	-15.9329318739	-4.048235428	duc_de_cambridge_B6	1840	imprecise	D	4	4	4	0.989	93.219	0	0.058	duc_de_cambridge	duc_de_cambridge_B6	2	21	1	2	21	1	4	2	0
duchesse_de_montebello_H7	42.7277936596	21.7854394608	19.3575065814	4.1644732287	9.3577054333	duchesse_de_montebello_H7	1824	[1820-1829]	Hgal	2	4	2	0.966	97.527	0	0.031	duchesse_de_montebello	duchesse_de_montebello_H7	8	4	3	8	4	3	1	1	0
duchesse_de_portland_C2	41.4062302513	5.761187802	7.4293944738	0.444897153	-9.2473641596	duchesse_de_portland_chene_C2	1799	<1800	P	2	4	4	0.977	96.493	0	0.042	duchesse_de_portland	duchesse_de_portland_C2	NA	NA	NA	6	53	3	0	0	0
duchesse_de_verneuil_A7	44.4638543038	15.1629749831	15.5556318696	2.0650603502	4.6739373011	duchesse_de_verneuil_A7	1859	[1850-1859]	M	2	4	2	0.97	97.414	0	0.033	duchesse_de_verneuil	duchesse_de_verneuil_A7	2	27	1	2	27	1	0	0	0
duchesse_du_berry_C1	44.2568060721	20.3869747244	19.2404080803	3.7099773357	9.6280160087	duchesse_du_berry_C1	1825	[1820-1829]	Hgal	2	4	2	0.975	97.729	0	0.036	duchesse_du_berry	duchesse_du_berry_C1	1	10	10	1	10	10	0	0	0
enfant_de_france_B10	7.645771508	-2.4458482336	23.4298862984	23.5816656816	8.6696247395	enfant_de_france_B10	1857	[1860-1869]	HP	9	4	3	0.986	93.112	0	0.09	enfant_de_france	enfant_de_france_B10	9	18	3	9	18	3	4	4	4
ernest_morel_C3	-21.4280822617	-30.4031243303	16.0371680247	-35.7753222927	5.5958317092	ernest_morel_C3	1898	[1890-1899]	HP	6	4	4	0.991	92.594	0	0.077	ernest_morel	ernest_morel_C3	7	55	10	7	55	10	3	3	1
ernst_dorell_F11	-17.87247649	21.3817419953	-11.1104749437	-17.4782335845	-7.9979223002	ernst_dorell_2_F11	1887	[1880-1889]	Hmult	4	4	4	0.988	93.232	0	0.062	ernst_dorell	ernst_dorell_F11	4	54	1	4	54	1	0	0	0
etoile_de_lyon_G11	-58.974568629	-46.4334810172	35.5345739115	49.3416569256	12.6347324597	etoile_de_lyon_G11	1881	[1880-1889]	T	9	2	2	0.977	96.493	0	0.059	etoile_de_lyon	etoile_de_lyon_G11	3	9	1	3	9	1	3	1	1
eugene_furst_C12	-32.7919756078	-34.079997342	13.3569152097	-43.9544283857	11.8345164696	eugene_furst_C12	1875	[1870-1879]	HP	6	4	4	0.989	92.468	0	0.093	eugene_furst	eugene_furst_C12	5	18	10	5	18	10	5	1	1
euphrosine_G10	-60.3592067968	45.0301863598	-45.3802766729	-17.8808012271	13.9994283262	euphrosine_G10	1895	uncertain	Hmult	10	2	2	0.961	96.575	1	0.071	euphrosine	euphrosine_G10	6	43	3	6	43	3	1	1	0
fatinitza_A3	-53.2789633701	10.7584171565	-12.6982120349	21.9621300242	15.7612308416	fatinitza_2_A3	1886	[1880-1889]	Hmult	9	2	2	0.983	96.14	0	0.058	fatinitza	fatinitza_A3	5	30	1	5	30	1	4	5	3
francois_arago_C6	-33.5509370905	-32.4976011445	15.1133588687	-24.6489823351	10.4141208328	francois_arago_C6	1858	[1850-1859]	HP	6	4	4	0.993	92.039	0	0.085	francois_arago	francois_arago_C6	7	52	10	7	52	10	3	3	2
francois_foucard_C7	-52.2656633188	10.4494324827	-9.0153776212	40.6348022094	9.4033107324	francois_foucard_C7	1900	[1900-1909]	Hwich	NA	NA	2	0.985	96.65	0	0.057	francois_foucard	francois_foucard_C7	4	34	1	4	34	1	0	0	0
fulgens_gallique_D1	-10.486865489	-3.2858046902	13.4250716655	4.7159364453	0.0491766807	fulgens_gallique_D1	1828	[1820-1829]	Hgal	4	4	4	0.989	92.771	0	0.079	fulgens_gallique	fulgens_gallique_D1	1	18	8	1	18	8	4	3	2
gaspard_monge_B8	1.4252575504	5.4241850148	2.9737079967	-12.1184513749	-7.435294231	gaspard_monge_B8	1854	[1850-1859]	C	4	4	4	0.988	91.932	0	0.067	gaspard_monge	gaspard_monge_B8	3	55	1	3	55	1	2	1	0
geant_des_batailles_C8	-29.116234307	-19.5222289831	12.5568276456	-30.4545267813	5.608314369	geant_des_batailles_chene_C8	1846	[1840-1849]	NA	6	NA	4	0.991	91.787	0	0.084	geant_des_batailles	geant_des_batailles_C8	NA	NA	NA	NA	NA	NA	NA	NA	NA
general_jacqueminot_C9	-22.5176437966	-25.8373893963	10.6639934869	-38.0719869003	4.2093589544	general_jacqueminot_chene_C9	1853	[1850-1859]	NA	6	NA	4	0.994	91.238	0	0.09	general_jacqueminot	general_jacqueminot_C9	NA	NA	NA	NA	NA	NA	NA	NA	NA
general_kleber_B7	42.0342484876	16.2834231331	13.5318369514	4.6111608917	4.2887706425	general_kleber_B7	1856	[1850-1859]	M	2	4	2	0.972	97.578	0	0.035	general_kleber	general_kleber_B7	2	28	1	2	28	1	0	0	0
geschwind_s_orden_D9	8.7395387878	-14.0117642889	-13.2322638104	-7.1092895486	-14.2242855439	geschwind_s_orden_D9	1886	[1880-1889]	Hmult	4	4	4	0.987	93.421	0	0.068	geschwind_s_orden	geschwind_s_orden_D9	5	4	1	5	4	1	4	4	5
gilda_A6	-5.7663149091	18.5683709638	-9.4734966462	-11.9660004465	6.8510764425	gilda_A6	1887	[1880-1889]	Hmult	4	2	4	0.989	93.427	0	0.057	gilda	gilda_A6	1	10	1	1	10	1	3	3	4
gloire_de_dijon_C11	-28.8303226307	-20.606409804	18.9137636429	15.9628214147	4.1964457308	gloire_de_dijon_C11	1850	[1850-1859]	Heg	14	5	3	0.993	91.901	0	0.093	gloire_de_dijon	gloire_de_dijon_C11	NA	NA	NA	5	39	1	NA	2	2
gloire_de_ducher_C12	-33.3658557381	-19.0670531444	9.6963788447	-32.0243161688	3.0382409331	gloire_de_ducher_chene_C12	1865	[1860-1869]	NA	5	NA	4	0.992	90.532	0	0.095	gloire_de_ducher	gloire_de_ducher_C12	NA	NA	NA	5	28	6	5	0	NA
gloire_des_rosomanes_D1	-25.0289465799	-14.479764513	-4.7600350601	6.3268243064	-19.8654039843	gloire_des_rosomanes_D1	1825	[1820-1829]	Ch	10	4	4	0.992	93.749	0	0.082	gloire_des_rosomanes	gloire_des_rosomanes_D1	NA	NA	NA	8	3	3	2	1	1
himmelsauge_A12	-2.2262500888	37.8500027383	-16.1319633061	-3.8110231822	11.1633626008	himmelsauge_A12	1893	[1890-1899]	Hset	3	4	4	NA	NA	NA	0.061	himmelsauge	himmelsauge_A12	9	7	6	9	7	6	0	0	0
hippolyte.D7	1.9711061195	17.0016821927	3.0822573211	-7.9968657056	6.2129154019	hippolyte.D7	1832	[1830-1839]	Hgal	4	NA	3	NA	NA	NA	0.125	hippolyte	hippolyte.D7	2	42	1	2	42	1	0	0	0
hovyn_de_tronchere_D3	-54.2471835817	-36.2512273013	28.2798236993	45.2454355144	9.4251975911	hovyn_de_tronchere_D3	1899	[1890-1899]	T	9	2	3	NA	NA	NA	0.096	hovyn_de_tronchere	hovyn_de_tronchere_D3	2	4	1	2	4	1	2	0	1
horace_vernet.E7	36.7754266842	6.0370917757	6.8230037998	2.2654766643	-16.1227030353	horace_vernet.E7	1866	[1860-1869]	HP	2	4	4	NA	NA	NA	0.038	horace_vernet	horace_vernet.E7	1	41	1	1	41	1	0	0	0
hume_s_blush_tea_scented_china_C7	-68.7878905917	-27.5806067031	16.7841175827	16.4647389773	12.3568579586	hume_s_blush_tea_scented_china_C7	1809	[1800-1809]	T	9	2	2	0.985	95.988	0	0.055	hume_s_blush_tea_scented_china	hume_s_blush_tea_scented_china_C7	1	30	1	1	30	1	0	0	0
hybride_de_rosa_wichurana_H12	-46.2032161135	46.9576322554	-39.9945412555	0.7132602106	17.8880870922	hybride_de_rosa_wichurana_H12	NA	unknown	NA	11	NA	2	0.967	96.291	0	0.066	hybride_de_rosa_wichurana_H12	hybride_de_rosa_wichurana_H12	NA	NA	NA	NA	NA	NA	NA	NA	NA
imperatrice_josephine_E9	44.1087750168	6.4776834864	2.8433666155	5.2244977682	4.7861668121	imperatrice_josephine_E9	1815	uncertain	Hgal	2	4	4	0.976	96.65	0	0.044	imperatrice_josephine	imperatrice_josephine_E9	9	67	3	9	67	3	3	0	1
indigo_D3	42.8988122995	16.157988905	15.6093281224	3.3179918292	2.8886599748	indigo_D3	1830	imprecise	P	2	4	2	0.979	96.972	0	0.034	indigo	indigo_D3	5	36	10	5	36	10	0	0	0
jacques_cartier_blanc_G1	5.9682943288	17.3696513011	8.2273397347	-2.2778330623	-11.1593444886	jacques_cartier_blanc_G1	1868	unknown	P	5	4	3	0.986	92.203	0	0.105	jacques_cartier_blanc	jacques_cartier_blanc_G1	3	1	7	3	1	7	3	1	1
janet_s_pride_D2	34.7674208452	24.8997801827	16.8534223754	7.4844966633	5.5531247836	janet_s_pride_D2	1894	[1890-1899]	Heg	3	4	2	0.971	96.802	0	0.051	janet_s_pride	janet_s_pride_D2	4	19	10	4	19	10	4	0	0
jean_bach_sisley_D4	-63.8060015955	-26.4908092062	16.5820922298	33.140793541	12.8691270601	jean_bach_sisley_D4	1898	[1890-1899]	Ch	9	2	2	0.985	96.871	0	0.051	jean_bach_sisley	jean_bach_sisley_D4	4	4	6	4	4	6	2	0	0
jeanne_d_arc_G2	-51.1583208881	43.0493737957	-40.8250971722	0.6852541656	20.5400444893	jeanne_d_arc_G2	1818	uncertain	A	10	2	2	0.965	97.187	0	0.061	jeanne_d_arc	jeanne_d_arc_G2	5	19	6	5	19	6	3	0	0
jenny_duval_G8	43.5783881902	20.3664823605	18.7172916452	3.9443207188	9.7339264782	jenny_duval_G8	1842	1840-1849	Hgal	2	4	2	0.972	97.817	0	0.037	jenny_duval	jenny_duval_G8	8	31	3	8	31	3	2	0	0
jersey_beauty_F1	-43.4077006685	12.0915169948	-10.2317429427	37.8740077809	13.2720081873	jersey_beauty_F1	1899	[1890-1899]	Hwich	9	2	2	0.981	96.638	0	0.065	jersey_beauty	jersey_beauty_F1	4	30	10	4	30	10	0	1	0
julie_de_mersan_C7	27.5485640048	3.6620963916	17.2612650972	-11.1463601486	2.1718266154	julie_de_mersan_C7	1854	[1850-1859]	M	2	4	4	0.984	95.679	0	0.044	julie_de_mersan	julie_de_mersan_C7	6	16	3	6	16	3	4	1	0
la_belle_distinguee_E1	42.8429883358	2.2423550177	0.5069745032	4.1732887514	3.6384157208	la_belle_distinguee_E1	1811	imprecise	Heg	2	4	4	0.978	96.045	0	0.068	la_belle_distinguee	la_belle_distinguee_E1	4	33	10	4	33	10	1	0	0
la_biche_E6	-53.6507502445	-25.5303129655	12.5870509381	9.6778789555	9.4623580792	la_biche_E6	1832	[1830-1839]	N	9	2	3	0.99	89.686	0	0.115	la_biche	la_biche_E6	1	16	1	1	16	1	5	1	0
la_caille_A2	10.1102398296	-4.9075682389	8.7676831088	-18.5222802665	0.7824191703	la_caille_A2	1857	[1850-1859]	M	4	4	4	0.989	92.973	0	0.067	la_caille	la_caille_A2	3	15	6	3	15	6	1	0	0
la_favorite_A10	-28.7583701188	-31.402143349	21.3857404752	13.517335402	6.3972955284	la_favorite_lyon_A10	1899	[1890-1899]	HT	8	3	3	0.991	91.806	0	0.114	la_favorite	la_favorite_A10	3	24	10	3	24	10	2	5	3
la_france_D7	-25.757265571	-28.4316020728	15.5874006619	-3.1287211077	4.2302359836	la_france_D7	1867	[1860-1869]	HT	8	3	3	0.994	91.434	0	0.112	la_france	la_france_D7	Row_Neighbor	NA	NA	Row_Neighbor	NA	NA	4	4	3
la_noblesse_B2	-0.2706397041	-9.8749656753	10.940699004	-19.8582269632	3.335694055	la_noblesse_B2	1857	[1850-1859]	C	5	4	4	0.991	92.008	0	0.077	la_noblesse	la_noblesse_B2	4	23	10	4	23	10	5	4	4
la_reine_D8	-2.0013889386	-5.0755624097	12.9131331536	-25.6909903423	3.2789878325	la_reine_D8	1842	[1840-1849]	NA	9	NA	4	0.994	92.197	0	0.066	la_reine	la_reine_D8	NA	NA	NA	NA	NA	NA	NA	NA	NA
la_sirene_A9	-27.4736117917	21.0492489378	-11.4075129675	-15.8608830945	-6.6730885419	la_sirene_A9	1875	[1870-1879]	HP	6	4	4	0.989	91.793	0	0.086	la_sirene	la_sirene_A9	4	17	1	4	17	1	0	0	0
lamotte_sanguin_D12	-6.1478589461	-11.3592075565	15.7894049986	-24.8912679343	-1.1257572373	lamotte_sanguin_D12	1869	[1860-1869]	HP	5	4	4	0.987	93.339	0	0.082	lamotte_sanguin	lamotte_sanguin_D12	3	7	10	3	7	10	4	4	4
lea_F1	35.673934335	4.1820028457	3.9858389582	4.1997717167	-15.8292425736	lea_F1	1825	uncertain	Hgal	2	4	4	0.984	96.234	0	0.042	lea	lea_F1	1	7	7	1	7	7	4	0	3
leda_E6	39.2563377974	7.4173318319	8.4323381539	2.2566491544	-13.0593483498	leda_E6	1827	imprecise	D	2	4	4	0.981	96.486	0	0.036	leda	leda_E6	6	35	3	6	35	3	1	0	0
leuchtstern_G2	-35.3887920249	29.4432623247	-25.5555893802	5.8330468222	-29.6674152763	leuchtstern_G2	1889	[1880-1889]	Hmult	10	2	2	0.969	95.837	0	0.094	leuchtstern	leuchtstern_G2	4	5	10	4	5	10	1	2	3
louis_lille_D9	43.981610957	20.408101868	18.7632251117	4.1145006453	9.7122676932	louis_lille_D9	1887	[1880-1889]	HP	2	4	2	0.975	97.849	0	0.031	louis_lille	louis_lille_D9	3	33	1	3	33	1	0	0	1
marguerite_de_roman_E12	-6.924095607	-0.1590680717	11.4144087795	-22.9054901496	-9.9595487164	marguerite_de_roman_E12	1882	[1880-1889]	HP	5	4	4	0.987	93.187	0	0.068	marguerite_de_roman	marguerite_de_roman_E12	1	32	1	1	32	1	NA	4	0
marie_dermar_G5	-11.2591948227	-20.4382230976	4.9813812504	-12.3000559102	-12.0623192024	marie_dermar_G5	1889	[1880-1889]	N	6	4	4	0.988	93.011	0	0.067	marie_dermar	marie_dermar_G5	NA	NA	NA	17	2	6	4	4	2
