Name	Name_simpl	year_obtained	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	Nb_Clust_A3	Lmax_P_A3	Rat_P_A3	Min_M_A3	DifMax_M_A3	Min_V_A3	Area_Peak_Inflo_A3	Reb_Mag_A3	Max_Peak_A3	Max_Reb_A3	First_Reb_A3	Rat_Peak_A3	First_Flo_A3	Cont_Flo_A3	PCo1	PCo2	PCo3	PCo4	PCo5	ID	Axis1	Axis2	Axis3	Axis4	Axis5	ID	date_mathilde	period_corjune2017_mathilde	classification_horti	genetic_group	ploidy_exp	ploidy_obs	DPQ	QCCR	DQCinf0965	missingness	ID_2ndfile	ID2	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	TN2014	TN2015	TN2016	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	mean_petals	Name2	Axis1_pruned	Axis2_pruned	Axis3_pruned	Axis4_pruned	Axis5_pruned
ayrshire_queen_G1	ayrshire_queen	1835	NR	1	1.33	NR176	NR	1	NR252	NR	1	R101	R	2	2	-0.371541027	0.449967333	6.284507091	2.978602327	0.334237004	5.810895503	0.224056604	10.43841715	2.596357565	9	0.248730964	5	0	-138.9991345	-24.51825903	103.7225535	25.59293428	50.95134169	ayrshire_queen_G1	-35.97793522	-3.88907597	28.61522185	0.907260531	11.75429961	ayrshire_queen_G1	1835	uncertain	Ayr	10	2	2	0.98	96.051	0	0.057	ayrshire_queen	ayrshire_queen_G1	4	28	10	4	28	10	4	1	1	4	28	10	4	28	10	36.6	ayrshire_queen_G1	-11.4228457903	1.7401169394	11.8043681455	2.3077323021	-5.4893226566
bacchante_A5	bacchante	1811	NR	1	1	NR114	NR	1	NR158	NR	1	NR151	NR	1	2	-0.612869122	0.845719403	9.69001256	2.406519525	0.424438751	3.319890066	0	2.987901059	0	30	0	9	0	148.6877989	78.89562695	74.49304515	9.388725016	34.83346225	bacchante_A5	43.79101731	20.96192819	19.3353055	4.068715933	10.08261888	bacchante_A5	1811	uncertain	Hgal	2	4	2	0.97	97.792	0	0.037	bacchante	bacchante_A5	NA	NA	NA	3	10	6	1	0	0	NA	NA	NA	3	10	6	NA	bacchante_A5	14.3981753725	9.9677529	6.4297647787	-1.5019265551	-4.2161256194
baron_de_wassenaer_D4	baron_de_wassenaer	1854	NR	1	1	NA	NA	NA	NR197	NR	1	NR196	NR	1	1	0	0	9.415033639	29	0.894550891	3.450179631	0	4.43594524	0	30	0	8	0	34.82704723	9.288689072	0.613487934	-56.29790269	-38.51167619	baron_de_wassenaer_D4	10.12810314	3.611846866	0.237259883	-15.08410343	-9.52244891	baron_de_wassenaer_D4	1854	[1850-1859]	M	2	4	4	0.988	93.017	0	0.068	baron_de_wassenaer	baron_de_wassenaer_D4	11	12	6	11	12	6	4	4	NA	11	12	6	11	12	6	32.4	baron_de_wassenaer_D4	4.0130167909	2.4474711026	-0.5467234333	4.6899362743	3.5540880311
beau_narcisse_H5	beau_narcisse	1828	NR	1	1.33	NR1	NR	1	NR1	NR	1	R1	R	2	3	-0.311313607	0.365217296	7.073966964	4.624427422	0.556230252	69.6680535	0.083791209	75.20389583	17.54757569	12	0.233333333	6	0	6.382910614	32.53792242	48.93836846	7.853137845	32.04381611	beau_narcisse_H5	3.005990371	6.771891638	12.71083545	-0.881896652	6.955446597	beau_narcisse_H5	1828	[1820-1829]	Hgal	4	4	3	0.989	92.374	0	0.098	beau_narcisse	beau_narcisse_H5	1	9	1	1	9	1	1	0	2	1	9	1	1	9	1	66.6	beau_narcisse_H5	0.9639779692	3.0176247223	4.6419969645	1.2857039266	-3.1104652758
belle_de_baltimore_G5	belle_de_baltimore	1843	NR	1	1	NR108	NR	1	NR149	NR	1	NR142	NR	1	1	0	0	9.413849178	29	1.400315832	15.63253412	0	28.48919769	0	30	0	6	0	-46.37096406	97.72673904	-1.605629001	59.44729833	-148.4746297	belle_de_baltimore_G5	-14.86247528	25.89015858	3.799425202	14.38591506	-41.84698161	belle_de_baltimore_G5	1843	[1840-1849]	Hset	10	2	2	0.974	96.461	0	0.065	belle_de_baltimore	belle_de_baltimore_G5	14	5	3	14	5	3	1	4	1	14	5	3	14	5	3	68	belle_de_baltimore_G5	-7.5017831063	9.6932092294	3.6964831691	-7.3715695133	16.3210923062
belle_helene_A7	belle_helene	1815	NR	1	1	NR10	NR	1	NR14	NR	1	NR7	NR	1	2	-0.336345531	0.399822623	9.254415505	2.084155321	0.648207936	9.004076604	0	8.564853355	0	30	0	8	0	148.3839434	77.26115888	73.29728665	8.605538297	33.03700986	belle_helene_A7	43.73448729	20.43008481	18.94757179	3.882314448	9.642625356	belle_helene_A7	1815	[1810-1819]	Hgal	2	4	2	0.965	97.767	0	0.038	belle_helene	belle_helene_A7	NA	NA	NA	2	53	1	1	0	0	NA	NA	NA	2	53	1	NA	belle_helene_A7	14.6907451496	9.820729162	6.2368542821	-1.3102919272	-3.7717645751
belle_herminie_B10	belle_herminie	1819	NR	1	1	NR40	NR	1	NR56	NR	1	NR58	NR	1	2	-0.180458175	0.197766024	9.163582927	2.378386935	0.975804266	24.47795591	0	27.30821956	0	30	0	6	0	144.9301677	85.69525226	77.60357615	9.551957709	31.98649107	belle_herminie_B10	42.78895875	22.62488807	19.99504296	4.134486329	9.176036057	belle_herminie_B10	1819	[1810-1819]	Hgal	2	4	2	NA	NA	NA	0.041	belle_herminie	belle_herminie_B10	5	42	1	5	42	1	0	0	0	5	42	1	5	42	1	76.66666667	belle_herminie_B10	14.2788592355	10.6385951569	6.6530351057	-1.1319789078	-3.8000671535
belle_isis_F7	belle_isis	1845	NR	1	1	NR58	NR	1	NR76	NR	1	NR73	NR	1	2	-0.337395492	0.401293154	7.286991651	1.953140715	0.586834935	33.48182647	0	37.75610219	0	30	0	6	0	139.8289367	91.20402738	76.06829827	12.34868701	29.30433336	belle_isis_F7	41.73553926	24.48377912	20.18669156	4.821226595	8.519408208	belle_isis_F7	1845	[1840-1849]	Hgal	2	4	2	0.971	97.445	0	0.032	belle_isis	belle_isis_F7	6	1	3	6	1	3	0	0	0	6	1	3	6	1	3	92.6	belle_isis_F7	13.4793193234	11.7555249878	6.7441465352	-1.7953180111	-3.5108358963
belvedere_G8	belvedere	1829	NR	1	1	NR28	NR	1	NR40	NR	1	NR39	NR	1	1	0	0	10.72069257	29	1.090467455	65.86788821	0	153.8123763	0	30	0	8	0	-76.35198747	130.8225437	-102.8359617	56.56362305	-57.17162918	belvedere_G8	-26.66617587	37.4883763	-27.13472037	18.84578829	-17.97219957	belvedere_G8	1829	[1820-1829]	Hsem	10	2	2	0.968	97.553	0	0.049	belvedere	belvedere_G8	4	39	1	4	39	1	0	0	0	4	39	1	4	39	1	43.8	belvedere_G8	-14.0352132813	10.2353200661	-10.048212597	-10.1981442617	8.7284117876
bijou_des_amateurs_A8	bijou_des_amateurs	1837	NR	1	1	NR8	NR	1	NR11	NR	1	NR5	NR	1	2	-0.419527708	0.521242916	9.076882997	2.825944599	0.12390201	3.502321215	0	3.232911891	0	30	0	9	0	147.3416965	84.02596197	78.47719166	7.591117314	33.41085384	bijou_des_amateurs_A8	42.52921164	21.91769413	19.92201966	3.590055928	9.565195123	bijou_des_amateurs_A8	1837	[1830-1839]	Hgal	1	4	2	0.965	97.18	0	0.056	bijou_des_amateurs	bijou_des_amateurs_A8	1	52	1	1	52	1	4	0	0	1	52	1	1	52	1	92	bijou_des_amateurs_A8	14.1790728945	10.31617285	6.4368351965	-1.1167227534	-3.8389602803
blanche_moreau_A9	blanche_moreau	1863	NA	NA	1	NA	NA	NA	NA	NA	NA	NR131	NR	1	2	-0.090094169	0.094277326	4.991682753	2.909209869	0.096277321	4.401401123	0	4.517227469	0	30	0	5	0	153.0315293	61.00501605	61.53649982	1.326440892	31.04170792	blanche_moreau_A9	44.67888696	16.68129244	15.89284559	2.191037794	9.071303513	blanche_moreau_A9	1863	[1860-1869]	M	2	4	2	0.971	97.571	0	0.036	blanche_moreau	blanche_moreau_A9	NA	NA	NA	11	58	3	3	3	3	NA	NA	NA	11	58	3	NA	blanche_moreau_A9	15.0046245271	8.668002438	5.1337887224	-1.0961464691	-3.6871846142
blanc_pur_G4	blanc_pur	1827	NR	1	1	NR142	NR	1	NR205	NR	1	NR207	NR	1	1	0	0	6.747493006	29	1.221182876	2.016865237	0	2.22916684	0	30	0	5	0	-89.05312138	-106.0798522	72.57396957	68.46031165	-38.68751025	blanc_pur_G4	-24.88131105	-31.85792973	21.71830452	18.7249844	-6.635620681	blanc_pur_G4	1827	[1820-1829]	Misc_OGR	8	4	4	0.99	92.298	0	0.098	blanc_pur	blanc_pur_G4	13	11	6	13	11	6	3	1	1	13	11	6	13	11	6	40.75	blanc_pur_G4	-7.4286723684	-13.0729165828	9.961513643	-5.2992788713	1.7757916492
blush_damask_H1	blush_damask	1760	NR	1	1	NR113	NR	1	NR156	NR	1	NR150	NR	1	2	-0.020850579	0.021069471	6.85365314	5.602767444	0.800575376	3.113708695	0.020109689	7.029081196	0.14522895	11	0.020661157	5	0	155.4423176	-13.73957001	-7.349283466	5.475746716	-6.934541869	blush_damask_H1	43.17096488	-2.346376854	-2.258745347	2.881693976	-2.116511809	blush_damask_H1	1760	unknown	D	2	4	4	0.983	95.767	0	0.056	blush_damask	blush_damask_H1	2	5	6	2	5	6	0	0	0	2	5	6	2	5	6	101.2	blush_damask_H1	15.1197834715	-0.0678091776	-0.2991864975	-1.2648968777	1.3854119494
blush_hip_B3	blush_hip	1834	NR	1	1	NR188	NR	1	NR264	NR	1	NR269	NR	1	2	-0.376431288	0.457075417	9.470386494	10.76502864	2.187426346	61.59416806	0.306402439	85.76770341	18.56527515	15	0.216459977	5	1	44.67255826	24.2437701	51.11986375	-9.067295293	-1.672971374	blush_hip_B3	13.4216423	6.07248649	13.36934177	-3.3947248	-0.147164202	blush_hip_B3	1834	unknown	A	5	4	4	0.987	94.071	0	0.062	blush_hip	blush_hip_B3	5	8	10	5	8	10	1	0	0	5	8	10	5	8	10	42	blush_hip_B3	5.0406205487	4.1928428937	5.3467192464	1.606212705	-1.0140332882
boula_de_nanteuil_A11	boula_de_nanteuil	1834	NR	1	1	NR80	NR	1	NR102	NR	1	NR95	NR	1	1	0	0	7.684037606	29	1.220731068	11.01871929	0	10.57797052	0	30	0	6	0	149.5281974	77.30266169	73.538664	8.709565382	34.21592363	boula_de_nanteuil_A11	44.04138833	20.52717626	19.11274117	3.780891509	9.806711889	boula_de_nanteuil_chene_A11	1834	[1830-1839]	Hgal	2	4	2	0.974	97.843	0	0.035	boula_de_nanteuil	boula_de_nanteuil_A11	NA	NA	NA	8	18	3	1	0	NA	NA	NA	NA	8	18	3	NA	boula_de_nanteuil_A11	14.5560961539	9.8837159109	6.2183175177	-1.2769845502	-3.9309319849
bouquet_de_venus_D6	bouquet_de_venus	1814	NR	1	1	NR3	NR	1	NR4	NR	1	NR2	NR	1	1	0	0	9.981260469	29	1.410154454	28.55232606	0	38.54564017	0	30	0	7	0	143.2546063	87.19330098	76.5833296	9.975063417	31.16188248	bouquet_de_venus_D6	42.1917148	23.10257807	20.06366155	4.096239039	8.996015728	bouquet_de_venus_D6	1814	imprecise	Hgal	2	4	2	0.978	97.464	0	0.042	bouquet_de_venus	bouquet_de_venus_D6	1	22	1	1	22	1	0	1	0	1	22	1	1	22	1	15	bouquet_de_venus_D6	13.977445314	10.7636714089	6.636286722	-0.9654809414	-3.7828149686
camaieu_G12	camaieu	1826	NR	1	1.33	NR51	NR	1	NR69	NR	1	R30	R	2	2	-0.074507904	0.077353859	9.54314629	3.935538588	0.371249383	8.634560546	0.071428571	11.95554537	0.996295448	13	0.083333333	8	0	145.3760012	84.79419795	75.80717684	10.76519152	32.21629891	camaieu_G12	42.92800014	22.58509164	19.75483239	4.388421952	9.322435141	camaieu_2_G12	1826	[1820-1829]	Hgal	2	4	2	0.968	97.458	0	0.035	camaieu	camaieu_G12	6	26	3	6	26	3	0	0	0	6	26	3	6	26	3	51.8	camaieu_G12	14.3158535279	10.5895467786	6.5249838029	-1.2436552795	-3.9084681486
capitaine_basroger_C1	capitaine_basroger	1890	NR	1	1	NR173	NR	1	NR246	NR	1	NR256	NR	1	1	0	0	6.299318189	29	0.985688331	7.312524799	0	9.621743156	0	30	0	4	0	-9.640970301	-39.01887761	78.15585593	-36.95684111	30.07748965	capitaine_basroger_C1	-0.538580592	-10.66811891	18.48122888	-11.86277802	9.033623169	capitaine_basroger_C1	1890	[1890-1899]	M	5	4	4	0.989	91.938	0	0.08	capitaine_basroger	capitaine_basroger_C1	4	45	10	4	45	10	5	5	1	4	45	10	4	45	10	52.4	capitaine_basroger_C1	0.9908026312	-2.3645691254	6.0478903621	4.8897863937	-3.2214569232
caroline_banks_A12	caroline_bank	1889	NR	1	1	NR129	NR	1	NR185	NR	1	NR183	NR	1	2	-0.461276749	0.586097742	5.919887912	2.323534982	0.734610431	10.11140584	0	9.459057072	0	30	0	4	0	-93.76707186	25.50878757	-53.00311352	-85.27165886	17.75708288	caroline_banks_A12	-23.84223629	7.760049597	-12.30784055	-21.1164318	4.280272173	caroline_banks_A12	1889	[1880-1889]	Hmult	6	4	4	0.989	90.235	0	0.117	caroline_banks	caroline_banks_A12	NA	NA	NA	8	19	6	NA	3	3	NA	NA	NA	8	19	6	NA	caroline_banks_A12	-8.8558354119	3.2892662979	-6.1262974053	6.9434664822	-1.8905145934
celine_F12	celine	1824	NR	1	1	NR39	NR	1	NR55	NR	1	NR57	NR	1	2	-0.624806035	0.867883618	6.598859755	2.917687983	1.30776841	12.5464787	0	11.25492942	0	30	0	3	0	-106.4983078	-32.37000764	-44.68090314	-85.44739918	-67.10719485	celine_F12	-28.53892408	-8.733287094	-12.05854034	-25.71007249	-17.84835802	celine_2_F12	1824	[1820-1829]	B	6	4	4	0.99	92.84	0	0.076	celine	celine_F12	5	41	1	5	41	1	3	4	2	5	41	1	5	41	1	53.2	celine_F12	-8.6430962876	-3.9685980398	-4.6589678729	8.8219893448	6.80710181
champmey_pink_cluster_B1	champney_s_pink_cluster	1811	NR	1	1	NA	NA	NA	NR280	NR	1	NR290	NR	1	1	0	0	9.497012097	29	1.005627411	13.39994872	0	13.39994872	0	30	0	8	0	-176.6956869	56.12798242	-61.08032607	-4.359355682	-170.8127064	champmey_pink_cluster_B1	-50.563982	13.25600809	-13.31787105	-4.262027152	-47.49145086	champmey_pink_cluster_chene_B1	1811	[1810-1819]	NA	4	NA	2	0.981	96.297	0	0.071	champmey_pink_cluster	champmey_pink_cluster_B1	NA	NA	NA	Zone 	Zone 	Zone 	4	4	NA	NA	NA	NA	Zone 	Zone 	Zone 	NA	champmey_pink_cluster_B1	-19.0892153786	1.1909705694	-3.7838009711	-0.5705790419	19.8258188795
charles_lawson_B4	charles_lawson	1853	NR	1	1	NR136	NR	1	NR196	NR	1	NR195	NR	1	1	0	0	6.939087401	29	1.817028102	7.870342768	0	7.011914453	0	30	0	1	0	-18.34859278	-69.7651774	66.2508711	-75.66277555	10.96595515	charles_lawson_B4	-2.698751574	-16.65919196	15.29437105	-22.59464998	3.928751064	charles_lawson_B4	1853	[1850-1859]	B	5	2	4	0.991	92.248	0	0.071	charles_lawson	charles_lawson_B4	11	2	6	11	2	6	4	5	4	11	2	6	11	2	6	108	charles_lawson_B4	0.5125936759	-3.5274916934	4.6328023912	8.6776196985	-1.0777324719
charles_quint_B2	charles_quint	1856	NR	1	1	NR165	NR	1	NR236	NR	1	NR246	NR	1	1	0	0	7.531833329	29	1.326459001	25.26796133	0	24.77251111	0	30	0	5	0	148.0193298	74.2478013	64.54379158	12.98458226	30.50093962	charles_quint_B2	43.04041456	20.03086162	16.97701642	5.00043483	8.533252564	charles_quint_B2	1856	[1850-1859]	Hgal	2	4	2	0.97	97.71	0	0.042	charles_quint	charles_quint_B2	3	37	10	3	37	10	4	4	4	3	37	10	3	37	10	119.8	charles_quint_B2	14.3219024504	9.6097412842	5.5806392963	-1.9489799416	-3.5262788944
chloris_F10	cloris	1814	NR	1	1	NR57	NR	1	NR75	NR	1	NR72	NR	1	2	-0.025053889	0.025370375	6.659844436	2.141280583	0.692297887	6.804167095	0	9.662722502	0	30	0	5	0	145.5297694	6.97243187	-14.85161133	20.90616829	19.02514	chloris_F10	39.28060734	4.141089078	-3.14365959	7.467744825	4.214952555	chloris_F10	1814	[1810-1819]	A	2	4	2	0.979	96.291	0	0.049	chloris	chloris_F10	6	46	3	6	46	3	0	0	0	6	46	3	6	46	3	76.2	chloris_F10	13.5509252036	3.1693522432	-0.4477343832	-3.1734319005	-2.4974184769
claire_jacquier_F8	mle_claire_jacquier	1887	NR	1	1	NR77	NR	1	NR99	NR	1	NR93	NR	1	1	0	0	5.989736269	29	1.293309074	17.48801647	0	35.30987172	0	30	0	3	0	-128.4170857	-13.84619579	10.09662569	139.3906496	-149.4949561	claire_jacquier_F8	-39.74223084	-7.678674719	6.617346669	36.50532164	-42.72089729	claire_jacquier_F8	1887	[1880-1889]	N	NA	2	2	0.981	97.048	0	0.05	claire_jacquier	claire_jacquier_F8	8	26	3	8	26	3	0	0	0	8	26	3	8	26	3	52.6	claire_jacquier_F8	-15.3488369261	-7.9681569583	7.148919759	-13.6832349153	16.8525514484
clementine_B4	clementine	1818	NR	1	1	NR184	NR	1	NR258	NR	1	NR263	NR	1	2	-0.194360351	0.214533863	7.067240792	1.843056712	0.135428071	14.15513766	0	14.71573718	0	30	0	5	0	136.9256352	16.62144359	19.79899591	17.60946417	-40.87281866	clementine_B4	38.41433149	4.439734172	4.669313414	5.462142712	-12.34096287	clementine_B4	1818	[1810-1819]	Hgal	3	4	4	0.981	96.436	0	0.036	clementine	clementine_B4	4	15	10	4	15	10	0	0	0	4	15	10	4	15	10	44.2	clementine_B4	12.6874188548	1.7150605951	1.4507013585	-2.7860069001	5.4680606335
clotilde_soupert_B11	clotilde_soupert	1889	R	2	1.66	R53	R	2	R71	R	2	NR231	NR	1	3	-0.503651245	0.654752159	9.181512509	20.12092226	0.79836273	30.29449497	0.020531401	37.16772195	2.054497193	28	0.055276382	6	0	-172.2810272	124.8043035	-134.3969251	27.74462787	59.86404483	clotilde_soupert_B11	-53.41466102	35.58269435	-35.03862376	12.12035444	16.47130697	clotilde_soupert_B11	1889	[1880-1889]	Pol	10	2	2	0.974	96.859	0	0.055	clotilde_soupert	clotilde_soupert_B11	2	50	10	2	50	10	5	4	1	2	50	10	2	50	10	48	clotilde_soupert_B11	-21.8584209867	9.044929118	-14.0719823807	-5.2483842919	-6.4175944223
comtesse_de_murinais_E10	comtesse_de_murinais	1843	NR	1	1	NA	NA	NA	NR111	NR	1	NR102	NR	1	1	0	0	7.989639039	29	1.459319404	7.150770761	0	6.188167005	0	30	0	6	0	145.3383323	-15.74866689	-1.354935069	5.325632569	-46.95938899	comtesse_de_murinais_E10	40.78350292	-3.366357271	-0.829896352	2.088977917	-13.6920441	comtesse_de_murinais_E10	1843	[1840-1849]	M	2	4	4	NA	NA	NA	0.037	comtesse_de_murinais	comtesse_de_murinais_E10	9	7	3	9	7	3	1	0	1	9	7	3	9	7	3	66.2	comtesse_de_murinais_E10	14.0068911476	-0.9061320808	-0.1263974218	-1.9252870452	6.502480285
