chr	startwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr01	16000001	16100000	35	0.5833333333	0.4212962963	0.875	0.859375
Chr01	16100001	16200000	8	0.3333333333	0.4444444444	0.5	0.4409722222
Chr01	16200001	16300000	3	NA	NA	NA	NA
Chr01	16300001	16400000	17	0.25	0.3194444444	0.4375	0.4727564103
Chr01	16400001	16500000	6	0.4166666667	0.4166666667	1	0.8888888889
Chr01	16500001	16600000	2	NA	NA	NA	NA
Chr01	16600001	16700000	10	0.3333333333	0.2222222222	0.5625	0.5972222222
Chr01	16700001	16800000	15	0.5	0.4375	0.9166666667	0.7916666667
Chr01	16800001	16900000	7	0	0.0625	0.75	0.625
Chr01	16900001	17000000	34	0.875	0.7513020833	1	0.9241666667
Chr01	17000001	17100000	38	0.375	0.3307291667	0.75	0.7147988506
Chr01	17100001	17200000	23	0.40625	0.484375	0.6666666667	0.6264880952
Chr01	17200001	17300000	12	0.125	0.0916666667	0.3125	0.3802083333
Chr01	17300001	17400000	17	0.1666666667	0.3214285714	0.6666666667	0.6145833333
Chr01	17400001	17500000	24	0.4166666667	0.4261363636	0.8125	0.7725694444
Chr01	17500001	17600000	7	0.25	0.25	0.875	0.875
Chr01	17600001	17700000	29	0	0.2100694444	0.5416666667	0.6057692308
Chr01	17700001	17800000	9	1	0.8214285714	1	0.8796296296
Chr01	17800001	17900000	14	0	0.0666666667	0.5	0.5
Chr01	17900001	18000000	56	0.375	0.3357007576	0.8125	0.7994281046
Chr01	18000001	18100000	58	0	0.0560897436	0.78125	0.8408333333
Chr01	18100001	18200000	10	0	0.1666666667	0.75	0.7916666667
Chr01	18200001	18300000	3	NA	NA	NA	NA
Chr01	18300001	18400000	5	0.5625	0.5625	0.6875	0.6875
Chr01	18400001	18500000	2	NA	NA	NA	NA
Chr01	18500001	18600000	8	0	0.0833333333	0.5	0.5625
Chr01	18600001	18700000	6	0.28125	0.328125	0.8125	0.8375
Chr01	18700001	18800000	14	0	0.1130952381	0.75	0.7443181818
Chr01	18800001	18900000	33	0.1875	0.2859848485	0.8229166667	0.7664930556
Chr01	18900001	19000000	14	0.5729166667	0.4409722222	0.875	0.8145833333
Chr01	19000001	19100000	5	0.5833333333	0.5833333333	0.6875	0.6875
Chr01	19100001	19200000	28	0	0.1770833333	0.5	0.509057971
Chr01	19200001	19300000	44	0.65625	0.6076388889	0.75	0.7456395349
Chr01	19300001	19400000	13	0.28125	0.28125	0.625	0.625
Chr01	19400001	19500000	14	0.125	0.1388888889	0.6666666667	0.6818181818
Chr01	19500001	19600000	25	0.5	0.4523809524	0.78125	0.8168402778
Chr01	19600001	19700000	13	0.9166666667	0.9166666667	0.8333333333	0.8846153846
Chr01	19700001	19800000	28	0.0625	0.06875	0.9166666667	0.8407738095
Chr01	19800001	19900000	27	0	0.29296875	0.6458333333	0.565625
Chr01	19900001	20000000	1	NA	NA	NA	NA
Chr01	20000001	20100000	2	NA	NA	NA	NA
Chr01	20100001	20200000	28	0.25	0.1944444444	0.75	0.8370535714
Chr01	20200001	20300000	6	0.5	0.4791666667	0.8958333333	0.7881944444
Chr01	20300001	20400000	16	0	0.1458333333	1	0.90625
Chr01	20400001	20500000	13	1	0.875	1	0.9053030303
Chr01	20500001	20600000	25	0.1666666667	0.3072916667	0.75	0.7748015873
Chr01	20600001	20700000	33	0.5	0.5307017544	0.875	0.876953125
Chr01	20700001	20800000	41	0	0.1953125	1	0.9054054054
Chr01	20800001	20900000	32	0.3333333333	0.4067982456	1	0.880859375
Chr01	20900001	21000000	18	0.375	0.3576388889	0.75	0.8113425926
Chr01	21000001	21100000	9	0.0625	0.1041666667	0.6875	0.6388888889
Chr01	21100001	21200000	10	0.625	0.625	0.9166666667	0.8244047619
Chr01	21200001	21300000	29	0.8333333333	0.7731481481	1	0.9612068966
Chr01	21300001	21400000	13	0	0	1	0.9229166667
Chr01	21400001	21500000	11	0.3333333333	0.2569444444	0.9375	0.8828125
Chr01	21500001	21600000	55	0.5729166667	0.5185185185	1	0.8774224806
Chr01	21600001	21700000	27	0	0.1785714286	1	0.9078525641
Chr01	21700001	21800000	25	0	0.2291666667	0.75	0.7862318841
Chr01	21800001	21900000	13	0	0.1666666667	0.75	0.7462121212
Chr01	21900001	22000000	19	0.3125	0.3715277778	0.75	0.8026315789
Chr01	22000001	22100000	30	0	0	1	0.9054487179
Chr01	22100001	22200000	40	0	0.1162280702	0.625	0.6979166667
Chr01	22200001	22300000	46	0.6666666667	0.5688405797	0.8333333333	0.8293650794
Chr01	22300001	22400000	27	0.25	0.2777777778	0.8333333333	0.8066666667
Chr01	22400001	22500000	30	0.4895833333	0.4131944444	1	0.9395833333
Chr01	22500001	22600000	233	0	0.0558035714	0.75	0.7329109063
Chr01	22600001	22700000	25	0.3854166667	0.3556547619	0.9375	0.8958333333
Chr01	22700001	22800000	22	0	0	0.7916666667	0.7935606061
Chr01	22800001	22900000	53	0.3125	0.3455284553	0.8125	0.8164308176
Chr01	22900001	23000000	13	0.625	0.5083333333	0.8958333333	0.8723958333
Chr01	23000001	23100000	0	NA	NA	NA	NA
Chr01	23100001	23200000	2	NA	NA	NA	NA
Chr01	23200001	23300000	7	0.0625	0.0625	1	0.90625
Chr01	23300001	23400000	7	0.6666666667	0.6666666667	0.875	0.7916666667
Chr01	23400001	23500000	1	NA	NA	NA	NA
Chr01	23500001	23600000	7	0.4166666667	0.4208333333	0.84375	0.84375
Chr01	23600001	23700000	19	0	0.025	0.6666666667	0.7071078431
Chr01	23700001	23800000	111	0	0.0567528736	0.625	0.6078431373
Chr01	23800001	23900000	6	0	0.25	0.75	0.7916666667
Chr01	23900001	24000000	88	0	0.0455128205	0.5625	0.6176609848
Chr01	24000001	24100000	82	0.8333333333	0.691576087	1	0.9375
Chr01	24100001	24200000	43	0	0.0555555556	0.6666666667	0.6681547619
Chr01	24200001	24300000	21	0.09375	0.1809895833	0.75	0.7807539683
Chr01	24300001	24400000	33	0	0.0125	0.46875	0.5
Chr01	24400001	24500000	28	0	0.0694444444	0.75	0.7536231884
Chr01	24500001	24600000	35	0	0.0980392157	0.9166666667	0.8534946237
Chr01	24600001	24700000	26	0.125	0.1071428571	1	0.9048913043
Chr01	24700001	24800000	12	0.2916666667	0.3125	0.84375	0.7666666667
Chr01	24800001	24900000	52	0	0.0753205128	0.6458333333	0.6778846154
Chr01	24900001	25000000	61	0	0.006155303	0.5625	0.5773305085
Chr01	25000001	25100000	73	0	0.1289308176	0.625	0.6082089552
Chr01	25100001	25200000	32	0	0.0208333333	1	0.8764367816
Chr01	25200001	25300000	22	0.25	0.306712963	0.75	0.7528409091
Chr01	25300001	25400000	56	0	0.1341145833	0.625	0.6320684524
Chr01	25400001	25500000	14	0.5625	0.4282407407	0.78125	0.7544642857
Chr01	25500001	25600000	23	0	0.03125	0.625	0.7101449275
Chr01	25600001	25700000	59	0.25	0.1805555556	0.8333333333	0.8474702381
Chr01	25700001	25800000	5	0	0	0.6666666667	0.6666666667
Chr01	25800001	25900000	32	0	0	0.6666666667	0.6478494624
Chr01	25900001	26000000	12	0.3125	0.359375	0.75	0.7291666667
Chr01	26000001	26100000	24	0.25	0.3458333333	0.625	0.6489583333
Chr01	26100001	26200000	11	0.4375	0.5148809524	0.875	0.8020833333
Chr01	26200001	26300000	19	0.4375	0.4652777778	0.8541666667	0.8032407407
Chr01	26300001	26400000	56	0	0.0208333333	0.6666666667	0.6910460993
Chr01	26400001	26500000	108	0	0.0380434783	0.6875	0.7016752577
Chr01	26500001	26600000	57	0	0.08	0.75	0.7015306122
Chr01	26600001	26700000	28	0	0.0972222222	0.75	0.7862318841
Chr01	26700001	26800000	28	0.5833333333	0.5798611111	0.875	0.875
Chr01	26800001	26900000	38	0.1041666667	0.2627314815	0.875	0.7742117117
Chr01	26900001	27000000	59	0	0.1493055556	0.75	0.8062865497
Chr01	27000001	27100000	137	0	0.0222222222	0.75	0.7655864198
Chr01	27100001	27200000	13	0.75	0.75	0.875	0.8461538462
Chr01	27200001	27300000	8	0.40625	0.40625	1	0.9375
Chr01	27300001	27400000	100	0.5	0.4119971264	0.75	0.8094618056
Chr01	27400001	27500000	396	0	0.0459142395	0.75	0.784332483
Chr01	27500001	27600000	146	0	0.0328431373	0.6666666667	0.6164841849
Chr01	27600001	27700000	20	0	0.1550925926	0.75	0.7589285714
Chr01	27700001	27800000	22	0.2083333333	0.25	0.96875	0.8666666667
Chr01	27800001	27900000	76	0	0.1736111111	0.9166666667	0.8108974359
Chr01	27900001	28000000	23	0.875	0.875	0.9166666667	0.9097222222
Chr01	28000001	28100000	37	0	0.0956439394	0.75	0.6807795699
Chr01	28100001	28200000	6	0	0.25	0.6666666667	0.7777777778
Chr01	28200001	28300000	23	0	0.1018518519	0.3333333333	0.4282407407
Chr01	28300001	28400000	46	0.5	0.4107142857	0.8333333333	0.7034313725
Chr01	28400001	28500000	54	0	0.0277777778	0.75	0.7908163265
Chr01	28500001	28600000	128	0	0.03	0.75	0.7715517241
Chr01	28600001	28700000	12	0.21875	0.2041666667	0.8125	0.8238636364
Chr01	28700001	28800000	11	0.5	0.5327380952	0.875	0.8390151515
Chr01	28800001	28900000	74	0.2916666667	0.3430059524	0.8333333333	0.8261494253
Chr01	28900001	29000000	44	0	0.0425347222	0.75	0.7258522727
Chr01	29000001	29100000	6	0.125	0.125	0.5	0.5625
Chr01	29100001	29200000	10	0.125	0.1458333333	0.3333333333	0.4166666667
Chr01	29200001	29300000	14	0	0	1	0.9479166667
Chr01	29300001	29400000	22	0.3333333333	0.2951388889	0.8333333333	0.8020833333
Chr01	29400001	29500000	52	0.5	0.5086050725	0.875	0.8658854167
Chr01	29500001	29600000	31	0	0.1111111111	0.75	0.6277173913
Chr01	29600001	29700000	66	0	0.09375	1	0.9349489796
Chr01	29700001	29800000	65	0	0.295045045	0.8333333333	0.7814265537
Chr01	29800001	29900000	55	0	0.037109375	0.625	0.674537037
Chr01	29900001	30000000	28	0.21875	0.4107142857	0.8125	0.8462301587
Chr01	30000001	30100000	3	NA	NA	NA	NA
Chr01	30100001	30200000	36	0	0.193627451	0.6875	0.7190860215
Chr01	30200001	30300000	2	NA	NA	NA	NA
Chr01	30300001	30400000	9	0.0729166667	0.0729166667	1	0.8680555556
Chr01	30400001	30500000	0	NA	NA	NA	NA
Chr01	30500001	30600000	15	0.8125	0.7833333333	0.9375	0.9041666667
Chr01	30600001	30700000	10	0.125	0.1770833333	1	1
Chr01	30700001	30800000	40	0.53125	0.5457175926	0.875	0.8446969697
Chr01	30800001	30900000	10	0	0.2083333333	1	0.9609375
Chr01	30900001	31000000	7	1	1	NA	NaN
Chr01	31000001	31100000	15	0	0.1111111111	0.8333333333	0.7666666667
Chr01	31100001	31200000	10	0	0.1111111111	0.125	0.325
Chr01	31200001	31300000	7	0.6458333333	0.5902777778	0.625	0.5885416667
Chr01	31300001	31400000	8	0.1666666667	0.4333333333	1	0.8
Chr01	31400001	31500000	8	0	0	0.75	0.7083333333
Chr01	31500001	31600000	4	NA	NA	NA	NA
Chr01	31600001	31700000	13	0	0.0416666667	0.75	0.7916666667
Chr01	31700001	31800000	28	0.1875	0.1810897436	0.9166666667	0.8510802469
Chr01	31800001	31900000	8	NA	NaN	1	0.9270833333
Chr01	31900001	32000000	29	0	0.0104166667	0.8333333333	0.8110119048
Chr01	32000001	32100000	8	0.25	0.21875	0.75	0.8125
Chr01	32100001	32200000	13	0.09375	0.109375	0.75	0.796875
Chr01	32200001	32300000	34	0	0.037037037	0.75	0.7152777778
Chr01	32300001	32400000	0	NA	NA	NA	NA
Chr01	32400001	32500000	33	0	0.0357142857	0.9166666667	0.8832070707
Chr01	32500001	32600000	17	0	0.0092592593	0.9166666667	0.8198529412
Chr01	32600001	32700000	11	0.6666666667	0.6597222222	0.8333333333	0.8465909091
Chr01	32700001	32800000	19	0	0.0598958333	0.8333333333	0.7993421053
Chr01	32800001	32900000	9	0.25	0.21875	1	0.9212962963
Chr01	32900001	33000000	13	0.3333333333	0.3154761905	0.75	0.8012820513
Chr01	33000001	33100000	4	NA	NA	NA	NA
Chr01	33100001	33200000	4	NA	NA	NA	NA
Chr01	33200001	33300000	23	0.4583333333	0.4583333333	1	0.9574275362
Chr01	33300001	33400000	30	0	0.1858974359	0.78125	0.7743055556
Chr01	33400001	33500000	20	0.4583333333	0.4895833333	0.8333333333	0.8760416667
Chr01	33500001	33600000	6	0.2083333333	0.2604166667	0.8333333333	0.7881944444
Chr01	33600001	33700000	36	0	0.0885416667	0.75	0.7818287037
Chr01	33700001	33800000	27	0	0	0.75	0.8055555556
Chr01	33800001	33900000	10	0.34375	0.3385416667	0.9166666667	0.8833333333
Chr01	33900001	34000000	6	0.1666666667	0.1944444444	0.875	0.875
Chr01	34000001	34100000	21	0.4166666667	0.4430555556	0.75	0.7805555556
Chr01	34100001	34200000	24	0.1666666667	0.2669270833	0.75	0.6666666667
Chr01	34200001	34300000	27	0.3229166667	0.3645833333	0.8333333333	0.824845679
Chr01	34300001	34400000	24	0.3333333333	0.5789473684	0.875	0.8248106061
Chr01	34400001	34500000	5	NA	NaN	0.8333333333	0.8666666667
Chr01	34500001	34600000	32	0.3333333333	0.4128787879	0.9166666667	0.8788580247
Chr01	34600001	34700000	15	0.3333333333	0.2638888889	0.75	0.8493589744
Chr01	34700001	34800000	2	NA	NA	NA	NA
Chr01	34800001	34900000	5	0.0833333333	0.0833333333	0.7604166667	0.7447916667
Chr01	34900001	35000000	9	0.3333333333	0.35	0.6041666667	0.59375
Chr01	35000001	35100000	133	0.3333333333	0.31875	1	0.9799679487
Chr01	35100001	35200000	227	0.3333333333	0.4416666667	1	0.9701851852
Chr01	35200001	35300000	76	0.4375	0.4919354839	1	0.893452381
Chr01	35300001	35400000	23	0.3333333333	0.3294270833	0.875	0.8170289855
Chr01	35400001	35500000	45	0.25	0.2520833333	0.75	0.8221899225
Chr01	35500001	35600000	29	0.5625	0.5359848485	0.8125	0.8625
Chr01	35600001	35700000	79	0.25	0.3841374269	0.75	0.7874436937
Chr01	35700001	35800000	17	0.3229166667	0.4270833333	0.6666666667	0.5583333333
Chr01	35800001	35900000	29	0.25	0.3148148148	0.4166666667	0.484375
Chr01	35900001	36000000	24	0.1770833333	0.2326388889	0.3333333333	0.4472222222
Chr01	36000001	36100000	5	0.5	0.4916666667	0.75	0.775
Chr01	36100001	36200000	7	0.25	0.2041666667	0.6458333333	0.7118055556
Chr01	36200001	36300000	21	0.3333333333	0.3674242424	1	0.7777777778
Chr01	36300001	36400000	31	0.0833333333	0.1703431373	0.75	0.6845238095
Chr01	36400001	36500000	5	0.09375	0.09375	1	0.875
Chr01	36500001	36600000	23	0.1666666667	0.1904761905	0.875	0.8626893939
Chr01	36600001	36700000	11	0.375	0.3796296296	0.6875	0.6912878788
Chr01	36700001	36800000	19	0.3333333333	0.3611111111	1	0.8333333333
Chr01	36800001	36900000	46	0.1666666667	0.2	0.625	0.6597222222
Chr01	36900001	37000000	17	0.5	0.5288461538	0.9375	0.9047619048
Chr01	37000001	37100000	19	0.25	0.2215909091	0.375	0.4583333333
Chr01	37100001	37200000	5	0.28125	0.3229166667	NA	NaN
Chr01	37200001	37300000	9	0.125	0.328125	0.6875	0.7083333333
Chr01	37300001	37400000	8	0.625	0.5958333333	0.9270833333	0.9270833333
Chr01	37400001	37500000	24	0.25	0.2720588235	0.71875	0.7679924242
Chr01	37500001	37600000	93	0.28125	0.318287037	0.75	0.8080524345
Chr01	37600001	37700000	11	0.6875	0.6875	0.9166666667	0.9337121212
Chr01	37700001	37800000	2	NA	NA	NA	NA
Chr01	37800001	37900000	16	0.25	0.29375	0.5	0.6333333333
Chr01	37900001	38000000	36	0.1666666667	0.2313596491	0.3541666667	0.4596354167
Chr01	38000001	38100000	78	0.1666666667	0.2083333333	0.3333333333	0.4544025157
Chr01	38100001	38200000	7	0.5	0.5	0.75	0.8125
Chr01	38200001	38300000	37	0.25	0.236328125	0.625	0.6773648649
Chr01	38300001	38400000	18	0.0833333333	0.1067708333	0.625	0.6469907407
Chr01	38400001	38500000	18	0.3333333333	0.3504901961	0.78125	0.8125
Chr01	38500001	38600000	8	0.25	0.318452381	0.5625	0.6369047619
Chr01	38600001	38700000	21	0.3333333333	0.3658854167	0.6875	0.6875
Chr01	38700001	38800000	3	NA	NA	NA	NA
