name	Size	S_Pop	Pi_Pop	W_Pop	gc	omega_persite	chr	startwin	endwin	pi_persite_Asia	D_Pop_Asia	pi_persite_Europe	D_Pop_Europe	pi_persite_HybFirst	D_Pop_HybFirst	pi_persite_HybTea	D_Pop_HybTea	RoD_pi_Hyb1stvsAsia	RoD_pi_HybTeavsAsia	RoD_pi_Hyb1stvsEurope	RoD_pi_HybTeavsEurope	RoD_pi_HybTeavsHyb1st	deltaD_Hyb1stvsAsia	deltaD_HybTeavsAsia	deltaD_Hyb1stvsEurope	deltaD_HybTeavsEurope	deltaD_HybTeavsHyb1st
rose_round2.jointvcf_Chr01_39500001-39600000.clean.fst.ASIA.fst.clean.fst	78387	3244	967.75	977.63	0.375709	0.0124718384	Chr01	39500001	39600000	0.0123457971	-0.0444149	0.0163423423	0.532688	0.0183310337	0.903821	0.0068845206	-0.620492	-0.4847995216	0.4423591661	-0.121689492	0.5787310983	0.6244335846	0.9482359	0.5760771	0.371133	1.15318	1.524313
rose_round2.jointvcf_Chr01_39900001-40000000.clean.fst.ASIA.fst.clean.fst	78564	4377	1263.13	1319.08	0.388929	0.0167898783	Chr01	39900001	40000000	0.0160777201	-0.186446	0.0190190464	0.827406	0.0194955945	0.855136	0.0072489872	-0.758119	-0.212584521	0.5491284089	-0.0250563608	0.6188564307	0.6281730606	1.041582	0.571673	0.02773	1.585525	1.613255
rose_round2.jointvcf_Chr01_40100001-40200000.clean.fst.ASIA.fst.clean.fst	79314	3140	884.873	946.288	0.374165	0.0119309075	Chr01	40100001	40200000	0.0111565802	-0.285233	0.0184460586	0.457724	0.0182975282	0.787184	0.0067157167	-0.583963	-0.6400660325	0.3980488152	0.008052149	0.6359267418	0.6329713726	1.072417	0.29873	0.32946	1.041687	1.371147
rose_round2.jointvcf_Chr01_40800001-40900000.clean.fst.ASIA.fst.clean.fst	79200	3703	1035.12	1115.96	0.378303	0.014090404	Chr01	40800001	40900000	0.013069697	-0.318396	0.0188257315	0.394326	0.0181086423	0.535184	0.0067800799	-0.620547	-0.3855441604	0.4812366379	0.0380909057	0.6398503851	0.6255887204	0.85358	0.302151	0.140858	1.014873	1.155731
rose_round2.jointvcf_Chr01_42400001-42500000.clean.fst.ASIA.fst.clean.fst	81183	2764	773.449	832.974	0.366425	0.0102604486	Chr01	42400001	42500000	0.0095272286	-0.314036	0.0196454495	0.724518	0.020391415	0.651076	0.0071098624	-0.464392	-1.1403301914	0.2537323583	-0.0379714172	0.6380911297	0.6513306009	0.965112	0.150356	0.073442	1.18891	1.115468
rose_round2.jointvcf_Chr01_43100001-43200000.clean.fst.ASIA.fst.clean.fst	70371	2166	556.697	652.758	0.373443	0.0092759517	Chr01	43100001	43200000	0.0079108866	-0.646582	0.0162103852	0.425326	0.013858351	0.658888	0.0061868003	-0.346496	-0.7518075628	0.2179384462	0.1450942859	0.6183434155	0.5535687992	1.30547	0.300086	0.233562	0.771822	1.005384
rose_round2.jointvcf_Chr01_63600001-63700000.clean.fst.ASIA.fst.clean.fst	74721	2081	535.047	627.142	0.367076	0.0083931157	Chr01	63600001	63700000	0.0071605974	-0.645182	0.0156097068	0.799558	0.0110291149	0.372225	0.0042672446	-0.488064	-0.5402506544	0.4040658447	0.2934450964	0.7266287805	0.6130927433	1.017407	0.157118	0.427333	1.287622	0.860289
rose_round2.jointvcf_Chr02_27300001-27400000.clean.fst.ASIA.fst.clean.fst	78744	3398	1016.42	1024.04	0.372043	0.0130046734	Chr02	27300001	27400000	0.0129079041	-0.0327197	0.0165802281	0.258809	0.0161309331	0.793235	0.0069725221	-0.250539	-0.2496942208	0.4598253843	0.0270982384	0.5794676598	0.5677545701	0.8259547	0.2178193	0.534426	0.509348	1.043774
rose_round2.jointvcf_Chr02_36500001-36600000.clean.fst.ASIA.fst.clean.fst	64881	1232	316.597	371.282	0.372756	0.0057225074	Chr02	36500001	36600000	0.0048796566	-0.646687	0.0140632961	0.40524	0.010100431	0.349898	0.0060866894	-0.201309	-1.0699061024	-0.2473601904	0.2817877872	0.5671932551	0.3973832006	0.996585	0.445378	0.055342	0.606549	0.551207
rose_round2.jointvcf_Chr02_41100001-41200000.clean.fst.ASIA.fst.clean.fst	84012	2730	715.254	822.728	0.384189	0.009792982	Chr02	41100001	41200000	0.0085137123	-0.574058	0.0158315022	0.577377	0.0107569824	0.956933	0.0054174895	-0.221604	-0.2634890674	0.3636748237	0.3205330523	0.6578031924	0.4963746084	1.530991	0.352454	0.379556	0.798981	1.178537
rose_round2.jointvcf_Chr03_24400001-24500000.clean.fst.ASIA.fst.clean.fst	80661	2382	696.001	717.853	0.396192	0.0088996293	Chr03	24400001	24500000	0.0086287177	-0.133758	0.0192766664	0.579579	0.0107915107	0.0530364	0.0059770491	-0.63915	-0.2506505683	0.3073073837	0.4401775445	0.6899334705	0.446134169	0.1867944	0.505392	0.5265426	1.218729	0.6921864
rose_round2.jointvcf_Chr03_24600001-24700000.clean.fst.ASIA.fst.clean.fst	81237	1959	511.267	590.375	0.36601	0.0072673166	Chr03	24600001	24700000	0.0062935239	-0.588679	0.0158501484	0.51452	0.0140135088	0.628812	0.0047544823	-0.626151	-1.2266553779	0.2445436892	0.1158752282	0.700035468	0.6607214936	1.217491	0.037472	0.114292	1.140671	1.254963
rose_round2.jointvcf_Chr03_25000001-25100000.clean.fst.ASIA.fst.clean.fst	74733	1888	438.002	568.978	0.380127	0.0076134773	Chr03	25000001	25100000	0.0058608914	-1.01127	0.0170048631	0.648785	0.0111884704	0.340637	0.0041197643	-0.751992	-0.9090048842	0.2970754792	0.3420429	0.7577302274	0.6317848495	1.351907	0.259278	0.308148	1.400777	1.092629
rose_round2.jointvcf_Chr03_25100001-25200000.clean.fst.ASIA.fst.clean.fst	81639	2125	437.121	640.402	0.40588	0.0078443146	Chr03	25100001	25200000	0.005354316	-1.39465	0.0164587405	0.335111	0.0105982878	0.31507	0.0038985718	-1.10649	-0.9793915609	0.2718823756	0.3560693275	0.76313061	0.6321507887	1.70972	0.28816	0.020041	1.441601	1.42156
rose_round2.jointvcf_Chr03_25200001-25300000.clean.fst.ASIA.fst.clean.fst	79530	2497	562.488	752.51	0.398827	0.009461964	Chr03	25200001	25300000	0.0070726518	-1.10961	0.0165293305	0.208624	0.0107184589	0.0748893	0.0044579659	-0.975876	-0.5154795022	0.369689611	0.3515491206	0.7302996673	0.5840851769	1.1844993	0.133734	0.1337347	1.1845	1.0507653
rose_round2.jointvcf_Chr03_25300001-25400000.clean.fst.ASIA.fst.clean.fst	77865	2042	433.414	615.389	0.388462	0.0079032813	Chr03	25300001	25400000	0.0055662236	-1.29917	0.0166634863	0.608571	0.0087916363	0.436848	0.0036066832	-1.12363	-0.5794615739	0.3520412624	0.4724011463	0.7835577054	0.5897597331	1.736018	0.17554	0.171723	1.732201	1.560478
rose_round2.jointvcf_Chr03_25400001-25500000.clean.fst.ASIA.fst.clean.fst	82122	2016	467.686	607.553	0.385188	0.0073981759	Chr03	25400001	25500000	0.0056950147	-1.01141	0.0153106199	0.527106	0.010090202	0.1918	0.0036606183	-1.03291	-0.7717604781	0.3572240809	0.3409671114	0.7609098544	0.637210601	1.20321	0.0215	0.335306	1.560016	1.22471
rose_round2.jointvcf_Chr03_25600001-25700000.clean.fst.ASIA.fst.clean.fst	80577	2321	540.254	699.47	0.400803	0.008680765	Chr03	25600001	25700000	0.0067048165	-1.00016	0.0168664118	0.402391	0.0122118072	0.419218	0.0041351802	-0.856219	-0.8213484514	0.3832522947	0.2759688696	0.7548275082	0.6613785216	1.419378	0.143941	0.016827	1.25861	1.275437
rose_round2.jointvcf_Chr03_26000001-26100000.clean.fst.ASIA.fst.clean.fst	72381	1547	398.352	466.213	0.38073	0.0064410964	Chr03	26000001	26100000	0.0055035437	-0.6393	0.0172090815	0.480635	0.0118605094	0.232015	0.0044380624	-0.716742	-1.1550677146	0.1935991391	0.3107993903	0.7421092798	0.6258118223	0.871315	0.077442	0.24862	1.197377	0.948757
rose_round2.jointvcf_Chr03_26100001-26200000.clean.fst.ASIA.fst.clean.fst	79083	2460	715.277	741.359	0.38116	0.009374442	Chr03	26100001	26200000	0.0090446366	-0.154593	0.016740818	0.335989	0.0146188075	0.445502	0.0054395134	-0.84771	-0.6162957235	0.3985923806	0.1267566793	0.6750748152	0.6279099111	0.600095	0.693117	0.109513	1.183699	1.293212
rose_round2.jointvcf_Chr03_26200001-26300000.clean.fst.ASIA.fst.clean.fst	73356	2265	667.026	682.593	0.385899	0.0093052102	Chr03	26200001	26300000	0.0090929985	-0.100204	0.0173971617	0.227047	0.0148892111	0.351299	0.0057238865	-0.76606	-0.6374368713	0.3705171593	0.1441586118	0.6709873353	0.6155681775	0.451503	0.665856	0.124252	0.993107	1.117359
rose_round2.jointvcf_Chr03_26500001-26600000.clean.fst.ASIA.fst.clean.fst	78147	2324	650.041	700.374	0.379912	0.0089622634	Chr03	26500001	26600000	0.0083181824	-0.315771	0.0183955422	0.508802	0.0164980277	0.553647	0.0041365992	-0.924917	-0.9833693121	0.5027039527	0.1031507807	0.7751303456	0.7492670456	0.869418	0.609146	0.044845	1.433719	1.478564
rose_round2.jointvcf_Chr03_26700001-26800000.clean.fst.ASIA.fst.clean.fst	79275	1833	473.422	552.403	0.379352	0.0069681867	Chr03	26700001	26800000	0.0059718953	-0.628092	0.0152130214	0.215906	0.0115845594	0.363572	0.0038837421	-0.984932	-0.9398463624	0.3496633995	0.238510283	0.7447093525	0.6647483981	0.991664	0.35684	0.147666	1.200838	1.348504
rose_round2.jointvcf_Chr03_26800001-26900000.clean.fst.ASIA.fst.clean.fst	80985	1735	486.37	522.869	0.388642	0.0064563685	Chr03	26800001	26900000	0.0060056801	-0.306637	0.016728985	0.280442	0.0128801998	0.280292	0.0051876349	-0.540199	-1.1446696545	0.1362119074	0.2300668694	0.6899013939	0.5972395605	0.586929	0.233562	0.00015	0.820641	0.820491
rose_round2.jointvcf_Chr03_26900001-27000000.clean.fst.ASIA.fst.clean.fst	80190	1990	535.122	599.718	0.376164	0.0074787131	Chr03	26900001	27000000	0.0066731762	-0.473204	0.0156734745	0.292963	0.0157993671	0.444492	0.0053941095	-0.491425	-1.3675932774	0.1916728575	-0.0080322115	0.6558446905	0.658586992	0.917696	0.018221	0.151529	0.784388	0.935917
rose_round2.jointvcf_Chr03_27000001-27100000.clean.fst.ASIA.fst.clean.fst	82170	2319	566.619	698.867	0.37674	0.0085051357	Chr03	27000001	27100000	0.0068956919	-0.831472	0.0158989711	0.397512	0.0126890615	0.370358	0.0035665589	-0.855856	-0.8401433444	0.4827844744	0.2018941732	0.7756736039	0.7189265025	1.20183	0.024384	0.027154	1.253368	1.226214
rose_round2.jointvcf_Chr03_27100001-27200000.clean.fst.ASIA.fst.clean.fst	81180	1966	464.02	592.485	0.397231	0.0072984109	Chr03	27100001	27200000	0.0057159399	-0.952561	0.0184253454	0.49802	0.0133642569	0.35722	0.0039050301	-0.901431	-1.3380681314	0.3168174976	0.2746807924	0.7880620395	0.7078004301	1.309781	0.05113	0.1408	1.399451	1.258651
rose_round2.jointvcf_Chr03_27400001-27500000.clean.fst.ASIA.fst.clean.fst	81066	1630	456.286	491.226	0.372595	0.0060595811	Chr03	27400001	27500000	0.0056285742	-0.312424	0.01743724	0.650663	0.0128520263	0.299893	0.0047747917	-0.805094	-1.2833537759	0.1516871786	0.262955248	0.7261727378	0.6284794628	0.612317	0.49267	0.35077	1.455757	1.104987
rose_round2.jointvcf_Chr03_27600001-27700000.clean.fst.ASIA.fst.clean.fst	81912	2209	557.947	665.717	0.373643	0.0081272219	Chr03	27600001	27700000	0.0068115417	-0.711282	0.0186414138	0.442192	0.0145586306	0.614396	0.0044669989	-0.607077	-1.137347368	0.3442014912	0.2190168211	0.7603723139	0.6931717705	1.325678	0.104205	0.172204	1.049269	1.221473
rose_round2.jointvcf_Chr03_27700001-27800000.clean.fst.ASIA.fst.clean.fst	81456	2158	601.628	650.347	0.383523	0.0079840282	Chr03	27700001	27800000	0.0073859261	-0.329136	0.0160493004	0.350921	0.0141550965	0.653357	0.0052797861	-0.502359	-0.9164958105	0.2851558538	0.1180240783	0.6710270269	0.6270045871	0.982493	0.173223	0.302436	0.85328	1.155716
rose_round2.jointvcf_Chr03_27800001-27900000.clean.fst.ASIA.fst.clean.fst	78282	2294	670.742	691.333	0.383217	0.008831315	Chr03	27800001	27900000	0.0085682788	-0.130865	0.0168667131	0.26915	0.0149302301	0.325904	0.0062825926	-0.383349	-0.7425005005	0.2667614193	0.1148109291	0.627515299	0.579203231	0.456769	0.252484	0.056754	0.652499	0.709253
rose_round2.jointvcf_Chr03_28000001-28100000.clean.fst.ASIA.fst.clean.fst	82446	1864	410.167	561.745	0.393195	0.00681349	Chr03	28000001	28100000	0.0049749776	-1.18539	0.0180417297	0.113677	0.0144819081	0.463562	0.0034705224	-1.091	-1.9109494398	0.30240441	0.1973104373	0.8076391532	0.7603546182	1.648952	0.09439	0.349885	1.204677	1.554562
rose_round2.jointvcf_Chr03_28100001-28200000.clean.fst.ASIA.fst.clean.fst	80508	1920	488.845	578.622	0.368417	0.0071871367	Chr03	28100001	28200000	0.0060720053	-0.681625	0.0180727525	0.309034	0.0149032149	0.448649	0.0047461554	-0.790637	-1.454414035	0.2183545359	0.1753765831	0.7373861361	0.6815347969	1.130274	0.109012	0.139615	1.099671	1.239286
rose_round2.jointvcf_Chr03_32500001-32600000.clean.fst.ASIA.fst.clean.fst	80073	1727	493.646	520.458	0.374901	0.0064997939	Chr03	32500001	32600000	0.0061649495	-0.226297	0.0147296151	0.375868	0.0141096173	0.28849	0.0051076987	-0.379521	-1.2886833583	0.171493827	0.0420919243	0.6532361058	0.6379987778	0.514787	0.153224	0.087378	0.755389	0.668011
rose_round2.jointvcf_Chr03_32700001-32800000.clean.fst.ASIA.fst.clean.fst	80283	2286	555.176	688.922	0.37636	0.0085811691	Chr03	32700001	32800000	0.0069152373	-0.853017	0.018784559	0.671571	0.0145029407	0.370501	0.0056049298	-0.455231	-1.0972440954	0.1894812147	0.2279328623	0.7016203693	0.6135314973	1.223518	0.397786	0.30107	1.126802	0.825732
rose_round2.jointvcf_Chr03_32800001-32900000.clean.fst.ASIA.fst.clean.fst	80985	2241	616.195	675.36	0.367178	0.0083393221	Chr03	32800001	32900000	0.0076087547	-0.384921	0.016836005	0.491781	0.0168379357	0.572384	0.0067576639	-0.225986	-1.212968661	0.1118567752	-0.0001146751	0.5986183228	0.598664346	0.957305	0.158935	0.080603	0.717767	0.79837
rose_round2.jointvcf_Chr03_33000001-33100000.clean.fst.ASIA.fst.clean.fst	79968	2746	669.236	827.55	0.389257	0.0103485144	Chr03	33000001	33100000	0.0083687975	-0.840688	0.0177551301	0.297653	0.0165984445	0.345313	0.0061915786	-0.517584	-0.9833726939	0.2601591135	0.0651465576	0.6512794586	0.6269783845	1.186001	0.323104	0.04766	0.815237	0.862897
rose_round2.jointvcf_Chr04_47400001-47500000.clean.fst.ASIA.fst.clean.fst	78837	2202	468.366	663.607	0.399732	0.0084174563	Chr04	47400001	47500000	0.0059409414	-1.29269	0.0146651619	0.783781	0.0143827538	0.870564	0.005999465	-0.352927	-1.4209553283	-0.0098508903	0.019257069	0.5909035948	0.5828709111	2.163254	0.939763	0.086783	1.136708	1.223491
rose_round2.jointvcf_Chr04_48100001-48200000.clean.fst.ASIA.fst.clean.fst	66771	2433	541.055	733.222	0.39677	0.0109811445	Chr04	48100001	48200000	0.0081031436	-1.15163	0.0167172692	0.524401	0.0169056808	0.54341	0.0060389929	-0.345519	-1.0863114027	0.2547345595	-0.011270479	0.6387572162	0.6427832204	1.69504	0.806111	0.019009	0.86992	0.888929
rose_round2.jointvcf_Chr04_48700001-48800000.clean.fst.ASIA.fst.clean.fst	82719	2826	613.033	851.659	0.417199	0.0102958087	Chr04	48700001	48800000	0.0074110301	-1.23132	0.0194930966	0.890673	0.0166622119	0.906604	0.0071348761	-0.359953	-1.2482990402	0.0372625717	0.1452249894	0.6339793414	0.5717929817	2.137924	0.871367	0.015931	1.250626	1.266557
rose_round2.jointvcf_Chr05_15900001-16000000.clean.fst.ASIA.fst.clean.fst	78564	2556	721.909	770.29	0.377396	0.0098046179	Chr05	15900001	16000000	0.0091888015	-0.276002	0.0162806535	0.255619	0.0077976526	-0.0236878	0.0059723581	-0.300603	0.1513961148	0.3500394944	0.5210479323	0.6331622639	0.2340825714	0.2523142	0.024601	0.2793068	0.556222	0.2769152
rose_round2.jointvcf_Chr05_16400001-16500000.clean.fst.ASIA.fst.clean.fst	67236	2055	630.155	619.306	0.391195	0.0092109287	Chr05	16400001	16500000	0.0093722857	0.0769638	0.0144275457	0.598719	0.0058506178	-0.213932	0.0042984046	-0.592525	0.375753365	0.5413707228	0.59448281	0.7020695903	0.2653075701	0.2908958	0.6694888	0.812651	1.191244	0.378593
rose_round2.jointvcf_Chr05_16700001-16800000.clean.fst.ASIA.fst.clean.fst	71220	2638	677.359	795.002	0.380784	0.0111626229	Chr05	16700001	16800000	0.0095107975	-0.650276	0.016359137	0.377688	0.0087761249	-0.0435341	0.0055152502	-0.751617	0.0772461623	0.420106443	0.463533747	0.6628642321	0.3715620208	0.6067419	0.101341	0.4212221	1.129305	0.7080829
rose_round2.jointvcf_Chr05_19000001-19100000.clean.fst.ASIA.fst.clean.fst	71079	2007	486.728	604.841	0.407453	0.0085094191	Chr05	19000001	19100000	0.0068477047	-0.857928	0.0173276916	0.859878	0.0085017491	0.374243	0.0065783783	-0.306102	-0.2415472789	0.039330899	0.5093547788	0.6203546078	0.2262323655	1.232171	0.551826	0.485635	1.16598	0.680345
rose_round2.jointvcf_Chr05_20500001-20600000.clean.fst.ASIA.fst.clean.fst	80670	2635	652.778	794.098	0.371851	0.0098437833	Chr05	20500001	20600000	0.0080919549	-0.782039	0.0150878893	0.621993	0.0108718337	0.467923	0.0051064279	-0.576345	-0.3435361298	0.3689500281	0.2794330919	0.6615545224	0.5303066602	1.249962	0.205694	0.15407	1.198338	1.044268
rose_round2.jointvcf_Chr05_20600001-20700000.clean.fst.ASIA.fst.clean.fst	77646	3184	718.268	959.548	0.381861	0.0123579837	Chr05	20600001	20700000	0.0092505474	-1.10512	0.0188528305	0.622143	0.0128136889	0.451165	0.0066015424	-0.377268	-0.3851817007	0.286361971	0.3203307618	0.6498381293	0.4848054745	1.556285	0.727852	0.170978	0.999411	0.828433
rose_round2.jointvcf_Chr05_20700001-20800000.clean.fst.ASIA.fst.clean.fst	81024	2909	729.741	876.672	0.377966	0.0108199052	Chr05	20700001	20800000	0.0090064796	-0.736553	0.016961982	0.64692	0.0111823187	0.53083	0.0058723023	-0.507992	-0.2415859746	0.3479913865	0.3407422126	0.6537962214	0.4748582645	1.267383	0.228561	0.11609	1.154912	1.038822
rose_round2.jointvcf_Chr05_20900001-21000000.clean.fst.ASIA.fst.clean.fst	80811	3497	837.232	1053.88	0.387667	0.0130412939	Chr05	20900001	21000000	0.0103603717	-0.903509	0.021203957	0.778887	0.01602885	0.890485	0.0072439243	-0.652468	-0.5471307801	0.3008045914	0.2440632658	0.6583692209	0.5480696153	1.793994	0.251041	0.111598	1.431355	1.542953
rose_round2.jointvcf_Chr05_21000001-21100000.clean.fst.ASIA.fst.clean.fst	73221	2614	682.575	787.77	0.366819	0.0107587987	Chr05	21000001	21100000	0.0093221207	-0.586798	0.0172383909	0.493527	0.0141630888	0.663287	0.0071181013	-0.287757	-0.5192990171	0.2364289703	0.1783984416	0.5870785534	0.4974188615	1.250085	0.299041	0.16976	0.781284	0.951044
rose_round2.jointvcf_Chr05_21100001-21200000.clean.fst.ASIA.fst.clean.fst	80787	3684	870.78	1110.23	0.38342	0.0137426814	Chr05	21100001	21200000	0.0107787144	-0.947962	0.0212907818	0.962501	0.0131343934	0.827831	0.0063317516	-0.665188	-0.2185491646	0.4125689448	0.383094828	0.7026059623	0.517925848	1.775793	0.282774	0.13467	1.627689	1.493019
rose_round2.jointvcf_Chr05_21200001-21300000.clean.fst.ASIA.fst.clean.fst	77658	2830	701.134	852.865	0.371394	0.0109823199	Chr05	21200001	21300000	0.0090284839	-0.781828	0.0186102564	0.658638	0.0134962183	0.627081	0.006101666	-0.684705	-0.4948488	0.3241760082	0.2747967586	0.6721342323	0.5478980939	1.408909	0.097123	0.031557	1.343343	1.311786
rose_round2.jointvcf_Chr05_21300001-21400000.clean.fst.ASIA.fst.clean.fst	82524	2711	667.627	817.002	0.381725	0.0099001745	Chr05	21300001	21400000	0.008090095	-0.803456	0.0164571462	0.847385	0.0094228531	0.64581	0.0063153993	-0.519695	-0.1647394875	0.2193664833	0.4274309185	0.6162518568	0.3297784397	1.449266	0.283761	0.201575	1.36708	1.165505
rose_round2.jointvcf_Chr05_21400001-21500000.clean.fst.ASIA.fst.clean.fst	78540	2737	657.896	824.838	0.381042	0.010502139	Chr05	21400001	21500000	0.0083765724	-0.889415	0.0148813266	0.423985	0.0090567787	0.281483	0.0052236263	-0.71704	-0.0812034143	0.3764005072	0.3913997752	0.6489811385	0.4232357348	1.170898	0.172375	0.142502	1.141025	0.998523
rose_round2.jointvcf_Chr05_21500001-21600000.clean.fst.ASIA.fst.clean.fst	76428	2716	642.553	818.509	0.368509	0.0107095436	Chr05	21500001	21600000	0.0084072984	-0.944685	0.0152448771	0.529108	0.0102612207	0.436631	0.0051329559	-0.730693	-0.2205134489	0.3894642899	0.3269069561	0.663299622	0.4997714194	1.381316	0.213992	0.092477	1.259801	1.167324
rose_round2.jointvcf_Chr05_21800001-21900000.clean.fst.ASIA.fst.clean.fst	81726	3005	676.25	905.604	0.380161	0.0110809779	Chr05	21800001	21900000	0.0082746005	-1.11302	0.0145925514	0.39846	0.0084233463	0.529193	0.0052288879	-0.661079	-0.0179761964	0.3680797212	0.422763977	0.6416741866	0.3792386492	1.642213	0.451941	0.130733	1.059539	1.190272
rose_round2.jointvcf_Chr05_21900001-22000000.clean.fst.ASIA.fst.clean.fst	78759	2722	655.279	820.317	0.375011	0.0104155335	Chr05	21900001	22000000	0.0083200523	-0.884118	0.0185117762	0.662585	0.0126066061	0.559876	0.0055243701	-0.73104	-0.5152075538	0.3360173893	0.3189953263	0.7015753651	0.5617876845	1.443994	0.153078	0.102709	1.393625	1.290916
rose_round2.jointvcf_Chr05_22000001-22100000.clean.fst.ASIA.fst.clean.fst	77574	2907	684.726	876.07	0.377557	0.0112933457	Chr05	22000001	22100000	0.0088267461	-0.959847	0.0197192337	0.689578	0.011033114	0.565867	0.0062841179	-0.578991	-0.2499639042	0.2880595153	0.4404897199	0.6813203817	0.4304311651	1.525714	0.380856	0.123711	1.268569	1.144858
rose_round2.jointvcf_Chr05_22100001-22200000.clean.fst.ASIA.fst.clean.fst	69192	3083	805.45	929.11	0.39161	0.0134279975	Chr05	22100001	22200000	0.0116407966	-0.584931	0.0179083303	0.495337	0.0135551333	0.526507	0.0071850916	-0.545162	-0.164450656	0.3827663353	0.2430822414	0.5987849553	0.4699357491	1.111438	0.039769	0.03117	1.040499	1.071669
